Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-03-08 00:00:00+09:00,"[28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875, 28381.88671875]","[27757.647028121664, 27499.07848209182, 27300.671858480644, 27133.407337493325, 26986.0443362516, 26852.817999517745, 26730.303738851522, 26616.270245433643, 26509.16764686499, 26407.86749048559, 26311.51788568827, 26219.456998211284, 26131.158506009753, 26046.195669193003, 25964.21679290478, 25884.92795623665, 25808.080538586473, 25733.462008775463, 25660.888990753985, 25590.2019537532, 25521.26108464983]","[29006.126409378336, 29264.69495540818, 29463.101579019356, 29630.366100006675, 29777.7291012484, 29910.955437982255, 30033.469698648478, 30147.503192066357, 30254.60579063501, 30355.90594701441, 30452.25555181173, 30544.316439288716, 30632.614931490247, 30717.577768306997, 30799.55664459522, 30878.84548126335, 30955.692898913527, 31030.311428724537, 31102.884446746015, 31173.5714837468, 31242.51235285017]"
2023-03-09 00:00:00+09:00,"[28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375, 28493.24609375]","[27868.89436861775, 27610.279416376936, 27411.837184027667, 27244.542643485504, 27097.15319448503, 26963.902947149574, 26841.366698415914, 26727.31273900387, 26620.190918353255, 26518.8725812767, 26422.505684275224, 26330.428274305334, 26242.113934861278, 26157.13584946387, 26075.14226013693, 25995.839193221007, 25918.977983493132, 25844.346061630804, 25771.760018673245, 25701.060295220057, 25632.10705305521]","[29117.59781888225, 29376.212771123064, 29574.655003472333, 29741.949544014496, 29889.33899301497, 30022.589240350426, 30145.125489084086, 30259.17944849613, 30366.301269146745, 30467.6196062233, 30563.986503224776, 30656.063913194666, 30744.378252638722, 30829.35633803613, 30911.34992736307, 30990.652994278993, 31067.514204006868, 31142.146125869196, 31214.732168826755, 31285.431892279943, 31354.38513444479]"
2023-03-10 00:00:00+09:00,"[28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375, 28686.912109375]","[28063.130823130152, 27804.752154413003, 27606.491228788258, 27439.349536885304, 27292.094750239266, 27158.966246978147, 27036.541953475138, 26922.592199451006, 26815.568250640456, 26714.34248305182, 26618.06363165556, 26526.070348201516, 26437.83669714432, 26352.936251965613, 26271.017576072863, 26191.786964395607, 26114.995978903848, 26040.43224448901, 25967.912519761892, 25897.277391103533, 25828.38714806107]","[29310.693395619848, 29569.072064336997, 29767.332989961742, 29934.474681864696, 30081.729468510734, 30214.857971771853, 30337.282265274862, 30451.232019298994, 30558.255968109544, 30659.48173569818, 30755.76058709444, 30847.753870548484, 30935.98752160568, 31020.887966784387, 31102.806642677137, 31182.037254354393, 31258.828239846152, 31333.39197426099, 31405.911698988108, 31476.546827646467, 31545.43707068893]"
2023-03-13 00:00:00+09:00,"[28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875, 28188.21875]","[27563.733385894488, 27305.06307857848, 27106.5783707861, 26939.248021788975, 26791.827024906364, 26658.54825610533, 26535.98577917719, 26421.907407156967, 26314.762657683463, 26213.422633987022, 26117.035110193538, 26024.937991572206, 25936.604748940776, 25851.608474462395, 25769.597334869075, 25690.27729357795, 25613.399632140667, 25538.75173573545, 25466.150156143867, 25395.435299812732, 25326.467298594427]","[28812.704114105512, 29071.37442142152, 29269.8591292139, 29437.189478211025, 29584.610475093636, 29717.88924389467, 29840.45172082281, 29954.530092843033, 30061.674842316537, 30163.014866012978, 30259.402389806462, 30351.499508427794, 30439.832751059224, 30524.829025537605, 30606.840165130925, 30686.16020642205, 30763.037867859333, 30837.68576426455, 30910.287343856133, 30981.002200187268, 31049.970201405573]"
2023-03-14 00:00:00+09:00,"[27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875, 27907.404296875]","[27282.418638026167, 27023.541101842293, 26824.89738174691, 26657.43297917733, 26509.893878726514, 26376.50833613819, 26253.84767057913, 26139.677906809586, 26032.447320328498, 25931.026109971714, 25834.561367120354, 25742.390466618817, 25653.986457465882, 25568.922089815478, 25486.84524853499, 25407.46166147966, 25330.52241094501, 25255.814711776882, 25183.154968790743, 25112.383460578025, 25043.360206938367]","[28532.389955723833, 28791.267491907707, 28989.91121200309, 29157.37561457267, 29304.914715023486, 29438.30025761181, 29560.96092317087, 29675.130686940414, 29782.361273421502, 29883.782483778286, 29980.247226629646, 30072.418127131183, 30160.822136284118, 30245.886503934522, 30327.96334521501, 30407.34693227034, 30484.28618280499, 30558.993881973118, 30631.653624959257, 30702.425133171975, 30771.448386811633]"
2023-03-15 00:00:00+09:00,"[27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875, 27287.669921875]","[26661.83466610317, 26402.60521535124, 26203.69146171032, 26035.999410331333, 25888.259747253214, 25754.692882189807, 25631.86547340623, 25517.540508827475, 25410.164154559498, 25308.605073601968, 25212.009197903724, 25119.713001545642, 25031.188817196533, 24946.00881421276, 24863.82039880123, 24784.328898787666, 24707.285058092286, 24632.475802303714, 24559.71728666065, 24488.849572631425, 24419.732489728525]","[27913.50517764683, 28172.73462839876, 28371.64838203968, 28539.340433418667, 28687.080096496786, 28820.646961560193, 28943.47437034377, 29057.799334922525, 29165.175689190502, 29266.734770148032, 29363.330645846276, 29455.626842204358, 29544.151026553467, 29629.33102953724, 29711.51944494877, 29791.010944962334, 29868.054785657714, 29942.864041446286, 30015.62255708935, 30086.490271118575, 30155.607354021475]"
2023-03-16 00:00:00+09:00,"[27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625, 27307.03515625]","[26688.036160970143, 26431.638382029905, 26234.897446591196, 26069.037165690283, 25922.911324800163, 25790.803466518893, 25669.31775294065, 25556.24160780981, 25450.038170410426, 25349.58846180983, 25254.047743299736, 25162.759736932396, 25075.20253930778, 24990.952993155468, 24909.662356211986, 24831.039175130565, 24754.836916559936, 24680.844833589712, 24608.881089671886, 24538.78749335033, 24470.425405278434]","[27926.034151529857, 28182.431930470095, 28379.172865908804, 28545.033146809717, 28691.158987699837, 28823.266845981107, 28944.75255955935, 29057.82870469019, 29164.032142089574, 29264.48185069017, 29360.022569200264, 29451.310575567604, 29538.86777319222, 29623.117319344532, 29704.407956288014, 29783.031137369435, 29859.233395940064, 29933.225478910288, 30005.189222828114, 30075.28281914967, 30143.644907221566]"
2023-03-17 00:00:00+09:00,"[27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875, 27074.63671875]","[26457.38672992476, 26201.71341317871, 26005.528377133367, 25840.136741099526, 25694.423784625786, 25562.68920238955, 25441.546751561025, 25328.790107607416, 25222.886752274288, 25122.72086834877, 25027.450103965624, 24936.420035516734, 24849.110234261032, 24765.098738575918, 24684.03779158314, 24605.636763449053, 24529.649817412228, 24455.866802036126, 24384.10639455918, 24314.21085050157, 24246.041922247707]","[27691.88670757524, 27947.56002432129, 28143.745060366633, 28309.136696400474, 28454.849652874214, 28586.58423511045, 28707.726685938975, 28820.483329892584, 28926.386685225712, 29026.55256915123, 29121.823333534376, 29212.853401983266, 29300.163203238968, 29384.174698924082, 29465.23564591686, 29543.636674050947, 29619.623620087772, 29693.406635463874, 29765.16704294082, 29835.06258699843, 29903.231515252293]"
2023-03-20 00:00:00+09:00,"[27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125, 27384.501953125]","[26766.1444307809, 26510.01235863055, 26313.475307182613, 26147.7869084368, 26001.812498765248, 25869.84154477031, 25748.481727676444, 25635.522764136098, 25529.4293860927, 25429.083774219183, 25333.642065215816, 25242.44866124022, 25154.982199744478, 25070.819961978967, 24989.61356708422, 24911.0718637486, 24834.948574105045, 24761.03316964165, 24689.144002248875, 24619.123044405496, 24550.831800437816]","[28002.8594754691, 28258.99154761945, 28455.528599067387, 28621.2169978132, 28767.191407484752, 28899.16236147969, 29020.522178573556, 29133.481142113902, 29239.5745201573, 29339.920132030817, 29435.361841034184, 29526.55524500978, 29614.021706505522, 29698.183944271033, 29779.39033916578, 29857.9320425014, 29934.055332144955, 30007.97073660835, 30079.859904001125, 30149.880861844504, 30218.172105812184]"
2023-03-22 00:00:00+09:00,"[27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375, 27060.109375]","[26451.479414957474, 26199.37663104127, 26005.931361197734, 25842.84945491495, 25699.171411201936, 25569.276530725303, 25449.825860264304, 25338.643887082537, 25234.21949487243, 25135.452449048353, 25041.51216136995, 24951.753347395465, 24865.66284628308, 24782.824589194963, 24702.895675752417, 24625.589534829902, 24550.663762829216, 24477.9111431238, 24407.15288516344, 24338.23344740387, 24271.016512887185]","[27668.739335042526, 27920.84211895873, 28114.287388802266, 28277.36929508505, 28421.047338798064, 28550.942219274697, 28670.392889735696, 28781.574862917463, 28885.99925512757, 28984.766300951647, 29078.70658863005, 29168.465402604535, 29254.55590371692, 29337.394160805037, 29417.323074247583, 29494.629215170098, 29569.554987170784, 29642.3076068762, 29713.06586483656, 29781.98530259613, 29849.202237112815]"
