Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-03-07 00:00:00+08:00,"[19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422, 19.720867156982422]","[18.986478539551783, 18.682284814274784, 18.44886875928041, 18.252089922365517, 18.078724286796856, 17.921989771701902, 17.777857509953854, 17.643702471739942, 17.517701305124945, 17.398526438663232, 17.285175663148344, 17.176870361719487, 17.07299134126136, 16.9730365623764, 16.87659227261817, 16.783312687870797, 16.69290531769678, 16.605120129166703, 16.519741388988468, 16.43658141672058, 16.355475728803572]","[20.45525577441306, 20.75944949969006, 20.992865554684435, 21.189644391599327, 21.363010027167988, 21.51974454226294, 21.66387680401099, 21.7980318422249, 21.9240330088399, 22.04320787530161, 22.1565586508165, 22.264863952245356, 22.368742972703483, 22.468697751588444, 22.565142041346675, 22.658421626094047, 22.748828996268063, 22.83661418479814, 22.921992924976376, 23.005152897244265, 23.08625858516127]"
2023-03-08 00:00:00+08:00,"[19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578, 19.655353546142578]","[18.921012276587092, 18.616838163141203, 18.383437156874546, 18.18667100663761, 18.01331654826315, 17.856592138127876, 17.712469168851648, 17.578322779861228, 17.45232973677568, 17.333162553740024, 17.219819086161834, 17.111520767379037, 17.00764844419675, 16.907700109584738, 16.811262037771893, 16.717988466935644, 16.62758692549585, 16.539807396643162, 16.454434160994186, 16.371279550207515, 16.29017909132823]","[20.389694815698064, 20.693868929143953, 20.92726993541061, 21.124036085647546, 21.297390544022008, 21.45411495415728, 21.59823792343351, 21.732384312423928, 21.858377355509475, 21.977544538545132, 22.090888006123322, 22.19918632490612, 22.303058648088406, 22.40300698270042, 22.499445054513263, 22.592718625349512, 22.683120166789305, 22.770899695641994, 22.85627293129097, 22.93942754207764, 23.020528000956926]"
2023-03-09 00:00:00+08:00,"[19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328, 19.20380401611328]","[18.467374115122727, 18.162334862401504, 17.928270011394748, 17.730944214145197, 17.557096696850493, 17.39992652737581, 17.255393640080044, 17.120865708698933, 16.99451431316477, 16.87500819195555, 16.761342350155214, 16.652736006683735, 16.548568247335865, 16.448335637260936, 16.35162327395907, 16.258084412183624, 16.167425748499763, 16.079396554994318, 15.993780498729645, 15.91038937759353, 15.829058250833125]","[19.940233917103836, 20.245273169825058, 20.479338020831815, 20.676663818081366, 20.85051133537607, 21.00768150485075, 21.15221439214652, 21.28674232352763, 21.41309371906179, 21.53259984027101, 21.64626568207135, 21.754872025542827, 21.859039784890697, 21.959272394965627, 22.055984758267492, 22.149523620042938, 22.2401822837268, 22.328211477232244, 22.413827533496917, 22.49721865463303, 22.578549781393438]"
2023-03-10 00:00:00+08:00,"[19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334, 19.0838680267334]","[18.348614624986308, 18.04406269418509, 17.81037177844245, 17.613361223203963, 17.439791439696897, 17.282872360759487, 17.138570375043034, 17.004257361611852, 16.878107821429452, 16.75879261975888, 16.645308367234996, 16.53687553013114, 16.432874186196717, 16.33280170485407, 16.236243846439606, 16.1428544196569, 16.052340589644242, 15.964452029044157, 15.878972750526264, 15.795714852644632, 15.714513658151006]","[19.81912142848049, 20.123673359281707, 20.35736427502435, 20.554374830262834, 20.7279446137699, 20.88486369270731, 21.029165678423762, 21.163478691854944, 21.289628232037344, 21.40894343370792, 21.5224276862318, 21.630860523335656, 21.73486186727008, 21.834934348612727, 21.93149220702719, 22.024881633809898, 22.115395463822555, 22.20328402442264, 22.28876330294053, 22.372021200822164, 22.45322239531579]"
2023-03-13 00:00:00+08:00,"[18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562, 18.509658813476562]","[17.77099702300768, 17.465033291262376, 17.23025906256841, 17.03233523227087, 16.857960837286914, 16.700314333972575, 16.55534341250513, 16.42040776885873, 16.293673441593597, 16.17380513454848, 16.059794806980605, 15.950859311505571, 15.84637585212049, 15.74583946822041, 15.64883399986516, 15.555011650931213, 15.464078229072356, 15.375782246497188, 15.289906714630284, 15.206262860977441, 15.124685244901741]","[19.248320603945444, 19.55428433569075, 19.789058564384714, 19.986982394682254, 20.16135678966621, 20.31900329298055, 20.463974214447994, 20.598909858094395, 20.725644185359528, 20.845512492404644, 20.95952281997252, 21.068458315447554, 21.172941774832633, 21.273478158732715, 21.370483627087964, 21.46430597602191, 21.55523939788077, 21.643535380455937, 21.72941091232284, 21.813054765975686, 21.894632382051384]"
2023-03-14 00:00:00+08:00,"[18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965, 18.86664390563965]","[18.129533903943635, 17.82421294451008, 17.589931932310215, 17.39242390273508, 17.2184158355337, 17.061100517845716, 16.91643415299056, 16.781781983725196, 16.655313901418197, 16.53569741511455, 16.421926601775564, 16.313219959262216, 16.20895599994889, 16.108630824057883, 16.011829145922768, 15.918203900074236, 15.827461512208844, 15.739351022863715, 15.653655899315591, 15.570187765645754, 15.488781528776927]","[19.603753907335662, 19.909074866769217, 20.143355878969082, 20.340863908544218, 20.514871975745596, 20.67218729343358, 20.816853658288736, 20.9515058275541, 21.0779739098611, 21.197590396164745, 21.311361209503733, 21.42006785201708, 21.524331811330406, 21.624656987221414, 21.72145866535653, 21.81508391120506, 21.905826299070455, 21.99393678841558, 22.079631911963705, 22.163100045633545, 22.24450628250237]"
2023-03-15 00:00:00+08:00,"[18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918, 18.43916130065918]","[17.70695407912789, 17.403663917869384, 17.170941191897903, 16.97474685837571, 16.80189618062811, 16.645627222986747, 16.50192308549971, 16.3681665356305, 16.242539637450392, 16.123718762875075, 16.010704679617323, 15.902721083586444, 15.79915062089178, 15.699492743372026, 15.60333492757323, 15.510332416481791, 15.420193588461231, 15.33266915326919, 15.247544018418465, 15.164631060945464, 15.083766285865615]","[19.17136852219047, 19.474658683448975, 19.707381409420456, 19.90357574294265, 20.07642642069025, 20.232695378331613, 20.37639951581865, 20.51015606568786, 20.635782963867968, 20.754603838443284, 20.867617921701036, 20.975601517731914, 21.07917198042658, 21.178829857946333, 21.27498767374513, 21.367990184836568, 21.45812901285713, 21.54565344804917, 21.630778582899897, 21.713691540372896, 21.794556315452745]"
2023-03-16 00:00:00+08:00,"[18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203, 18.718982696533203]","[17.986788182028164, 17.683503283975515, 17.45078459663305, 17.25459366784243, 17.081745989728272, 16.92547974396552, 16.78177810030994, 16.64802387164361, 16.522399153585738, 16.403580341021925, 16.29056821900538, 16.182586496917246, 16.0790178315803, 15.979361683519658, 15.88320553644024, 15.790204639311309, 15.700067375557142, 15.61254445926153, 15.527420801669955, 15.444509283066141, 15.363645911311462]","[19.451177211038242, 19.75446210909089, 19.987180796433357, 20.183371725223978, 20.356219403338134, 20.512485649100885, 20.656187292756467, 20.789941521422797, 20.91556623948067, 21.03438505204448, 21.147397174061027, 21.25537889614916, 21.358947561486108, 21.458603709546747, 21.554759856626166, 21.647760753755097, 21.737898017509266, 21.825420933804878, 21.91054459139645, 21.993456110000267, 22.074319481754944]"
2023-03-17 00:00:00+08:00,"[18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586, 18.398366928100586]","[17.66518897853849, 17.36149672794423, 17.128465468057133, 16.93201102844024, 16.758931192636425, 16.602455060283813, 16.458560405992433, 16.324626527408746, 16.19883307846113, 16.079854676255028, 15.966690763763284, 15.858564007704127, 15.754856235725276, 15.65506623605992, 15.558780938348029, 15.465655128511813, 15.375396798295226, 15.287756326957517, 15.202518336851018, 15.119495456932485, 15.038523474799781]","[19.13154487766268, 19.435237128256944, 19.66826838814404, 19.864722827760932, 20.037802663564747, 20.19427879591736, 20.33817345020874, 20.472107328792426, 20.59790077774004, 20.716879179946144, 20.83004309243789, 20.938169848497044, 21.041877620475898, 21.141667620141252, 21.237952917853143, 21.33107872768936, 21.421337057905944, 21.508977529243655, 21.594215519350154, 21.67723839926869, 21.75821038140139]"
2023-03-20 00:00:00+08:00,"[18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266, 18.698490142822266]","[17.965204102748196, 17.661467079651143, 17.428401464607184, 17.231918062250895, 17.058812709760275, 16.90231350855879, 16.758397640271067, 16.624444016180746, 16.498632021847644, 16.379636078979672, 16.266455483040332, 16.15831278614775, 16.054589724814196, 15.95478501338059, 15.85848552058908, 15.765345981467906, 15.67507434471105, 15.587420952776856, 15.502170396265123, 15.41913527650901, 15.338151356896994]","[19.431776182896336, 19.73551320599339, 19.968578821037347, 20.165062223393637, 20.338167575884256, 20.49466677708574, 20.638582645373464, 20.772536269463785, 20.898348263796887, 21.01734420666486, 21.1305248026042, 21.23866749949678, 21.342390560830335, 21.44219527226394, 21.538494765055454, 21.631634304176625, 21.721905940933482, 21.809559332867675, 21.894809889379406, 21.97784500913552, 22.058828928747538]"
