Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-17 00:00:00+01:00,"[115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156, 115.36000061035156]","[112.78024546965166, 111.7116759026736, 110.89173363541157, 110.20049032874292, 109.59149275019298, 109.04091685403078, 108.53461006430344, 108.06335119484797, 107.62073518788058, 107.20209855981548, 106.8039207572397, 106.423466660351, 106.05856117195287, 105.7074407316, 105.3686519126246, 105.04098004702985, 104.72339767647543, 104.41502648705514, 104.1151086523862, 103.82298488994103, 103.53807740303517]","[117.93975575105146, 119.00832531802952, 119.82826758529156, 120.51951089196021, 121.12850847051014, 121.67908436667234, 122.18539115639969, 122.65665002585516, 123.09926603282254, 123.51790266088764, 123.91608046346343, 124.29653456035213, 124.66144004875025, 125.01256048910312, 125.35134930807853, 125.67902117367328, 125.9966035442277, 126.30497473364798, 126.60489256831693, 126.8970163307621, 127.18192381766795]"
2023-02-20 00:00:00+01:00,"[115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219, 115.19999694824219]","[112.62290120889037, 111.55543320206516, 110.73633619163104, 110.04580546942874, 109.43743569039549, 108.88742736838026, 108.38164251694714, 107.9108694558105, 107.46870972999153, 107.05050466336648, 106.65273733176795, 106.27267543495648, 105.9081461179858, 105.55738763841848, 105.21894806788589, 104.8916139905604, 104.57435900728133, 104.26630570957309, 103.96669705227609, 103.67487443249969, 103.39026064919481]","[117.777092687594, 118.84456069441921, 119.66365770485334, 120.35418842705563, 120.96255820608889, 121.51256652810412, 122.01835137953724, 122.48912444067388, 122.93128416649284, 123.3494892331179, 123.74725656471642, 124.12731846152789, 124.49184777849858, 124.8426062580659, 125.18104582859849, 125.50837990592397, 125.82563488920304, 126.13368818691129, 126.43329684420829, 126.72511946398468, 127.00973324728956]"
2023-02-21 00:00:00+01:00,"[114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625, 114.94000244140625]","[112.42218859459634, 111.3792759517192, 110.5790209347348, 109.90437474779132, 109.30999952525488, 108.77264324941457, 108.27849315519974, 107.81854946203562, 107.38656090098522, 106.97797596118595, 106.58935861958625, 106.21803942806619, 105.86189551467075, 105.51920566297957, 105.18855134387283, 104.86874705417884, 104.55879000537892, 104.25782297235128, 103.96510632452792, 103.6799966091057, 103.40192990260613]","[117.45781628821616, 118.5007289310933, 119.3009839480777, 119.97563013502118, 120.57000535755762, 121.10736163339793, 121.60151172761276, 122.06145542077688, 122.49344398182728, 122.90202892162655, 123.29064626322625, 123.66196545474631, 124.01810936814175, 124.36079921983293, 124.69145353893967, 125.01125782863366, 125.32121487743358, 125.62218191046122, 125.91489855828458, 126.2000082737068, 126.47807498020637]"
2023-02-22 00:00:00+01:00,"[114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375, 114.55999755859375]","[112.04943840055783, 111.00953074822696, 110.21158154157858, 109.5388792426653, 108.9462166198618, 108.41040865252953, 107.91768237493179, 107.45906393796159, 107.02832008474091, 106.6209124188777, 106.23341481768627, 105.86316552464619, 105.5080477845277, 105.16634534032782, 104.83664375019768, 104.51776092680855, 104.20869697102087, 103.90859712767367, 103.61672389732938, 103.33243568119399, 103.05517018064675]","[117.07055671662967, 118.11046436896054, 118.90841357560892, 119.5811158745222, 120.1737784973257, 120.70958646465797, 121.20231274225571, 121.66093117922591, 122.09167503244659, 122.4990826983098, 122.88658029950123, 123.25682959254131, 123.6119473326598, 123.95364977685968, 124.28335136698982, 124.60223419037895, 124.91129814616663, 125.21139798951383, 125.50327121985812, 125.78755943599351, 126.06482493654075]"
2023-02-23 00:00:00+01:00,"[114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422, 114.31999969482422]","[111.82029194089868, 110.78487908728378, 109.9903788610007, 109.32058418703731, 108.73048323323992, 108.19699119171537, 107.70639462769442, 107.24975847978872, 106.82087643316169, 106.41522970775758, 106.02940698964015, 105.66075802721424, 105.30717521451315, 104.96694971272127, 104.6386731936397, 104.3211686792825, 104.01344059237977, 103.71463787228359, 103.42402620725443, 103.14096677168433, 102.8648996973791]","[116.81970744874975, 117.85512030236465, 118.64962052864773, 119.31941520261113, 119.90951615640851, 120.44300819793307, 120.93360476195402, 121.39024090985971, 121.81912295648675, 122.22476968189086, 122.61059240000829, 122.9792413624342, 123.33282417513529, 123.67304967692716, 124.00132619600873, 124.31883071036594, 124.62655879726867, 124.92536151736485, 125.21597318239401, 125.4990326179641, 125.77509969226934]"
2023-02-24 00:00:00+01:00,"[114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047, 114.76000213623047]","[112.33154302060942, 111.32564231919568, 110.55378756378134, 109.90308390487186, 109.32980247298384, 108.81151644158986, 108.33490324703318, 107.89128250207852, 107.4746247891602, 107.08054012604872, 106.70571443076297, 106.34757299126495, 106.00406827423234, 105.6735401475186, 105.35462042420379, 105.04616567345501, 104.74720869472942, 104.45692268497967, 104.17459426239742, 103.8996028096851, 103.63140441645251]","[117.18846125185152, 118.19436195326526, 118.9662167086796, 119.61692036758907, 120.1902017994771, 120.70848783087108, 121.18510102542776, 121.62872177038241, 122.04537948330074, 122.43946414641222, 122.81428984169797, 123.17243128119598, 123.5159359982286, 123.84646412494234, 124.16538384825715, 124.47383859900593, 124.77279557773151, 125.06308158748126, 125.34541001006352, 125.62040146277583, 125.88859985600843]"
2023-02-27 00:00:00+01:00,"[112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422, 112.81999969482422]","[110.38438229531108, 109.37551653564088, 108.6013866110034, 107.94876489571315, 107.37379362223045, 106.85397985725716, 106.37596176668241, 105.93103337639758, 105.51314749613405, 105.11790120346554, 104.74197064760756, 104.38277352713364, 104.0382562732792, 103.70675386038434, 103.38689406857247, 103.07753009655968, 102.77769189281997, 102.4865502171676, 102.20338958498368, 101.92758754959877, 101.65859859735704]","[115.25561709433735, 116.26448285400755, 117.03861277864503, 117.69123449393528, 118.26620576741799, 118.78601953239128, 119.26403762296603, 119.70896601325086, 120.12685189351438, 120.5220981861829, 120.89802874204088, 121.2572258625148, 121.60174311636924, 121.9332455292641, 122.25310532107596, 122.56246929308875, 122.86230749682846, 123.15344917248083, 123.43660980466476, 123.71241184004967, 123.9814007922914]"
2023-02-28 00:00:00+01:00,"[114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734, 114.54000091552734]","[112.09555778386803, 111.08303628634916, 110.30610121538543, 109.65111465234484, 109.074059906167, 108.55236253789631, 108.07261229532268, 107.62607165726722, 107.20667152079142, 106.80999300898735, 106.43270022672571, 106.0722015153221, 105.72643586467596, 105.39373221572076, 105.07271337618778, 104.76222838923042, 104.46130368823255, 104.1691070281639, 103.88492033176708, 103.60811889686752, 103.33815523307972]","[116.98444404718666, 117.99696554470553, 118.77390061566926, 119.42888717870984, 120.0059419248877, 120.52763929315837, 121.007389535732, 121.45393017378747, 121.87333031026327, 122.27000882206734, 122.64730160432897, 123.00780031573258, 123.35356596637872, 123.68626961533393, 124.00728845486691, 124.31777344182427, 124.61869814282214, 124.91089480289078, 125.19508149928761, 125.47188293418716, 125.74184659797497]"
2023-03-01 00:00:00+01:00,"[114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312, 114.22000122070312]","[111.90997856391161, 110.95313585006426, 110.21892461248018, 109.59995590708789, 109.05463353051422, 108.56162441725174, 108.10825574785937, 107.68627047940261, 107.28993325027133, 106.9150681785874, 106.55852281084101, 106.21784800423865, 105.89109608408631, 105.5766878832294, 105.27332194151016, 104.97991059345655, 104.69553380909846, 104.41940510874602, 104.15084590237092, 103.88926584031093, 103.63414753879931]","[116.53002387749464, 117.486866591342, 118.22107782892607, 118.84004653431836, 119.38536891089203, 119.87837802415451, 120.33174669354688, 120.75373196200364, 121.15006919113492, 121.52493426281885, 121.88147963056524, 122.2221544371676, 122.54890635731994, 122.86331455817685, 123.16668049989609, 123.4600918479497, 123.74446863230779, 124.02059733266023, 124.28915653903533, 124.55073660109532, 124.80585490260694]"
2023-03-02 00:00:00+01:00,"[113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578, 113.68000030517578]","[111.39291840456076, 110.44557806305897, 109.71865825222466, 109.10583650392662, 108.56592970526839, 108.07781664868823, 107.6289503680826, 107.21115582092865, 106.81875460329675, 106.4476123038492, 106.09460777598444, 105.7573161992625, 105.43380924128029, 105.12252341753835, 104.82217019263535, 104.53167270266792, 104.25012005445222, 103.97673357880134, 103.71084142474136, 103.45185910535244, 103.19927437498838]","[115.9670822057908, 116.91442254729259, 117.6413423581269, 118.25416410642494, 118.79407090508317, 119.28218396166334, 119.73105024226896, 120.14884478942291, 120.54124600705481, 120.91238830650236, 121.26539283436712, 121.60268441108906, 121.92619136907128, 122.23747719281322, 122.53783041771621, 122.82832790768364, 123.10988055589934, 123.38326703155022, 123.6491591856102, 123.90814150499912, 124.16072623536319]"
