Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-17 00:00:00+01:00,"[130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422, 130.6999969482422]","[127.53370048732033, 126.22217755072133, 125.21581060611432, 124.36740402641706, 123.61994282472608, 122.94418624462872, 122.32276393556712, 121.74435815321362, 121.20110756550967, 120.68728838443407, 120.19857961237156, 119.73162426399719, 119.28375270510952, 118.8528004065608, 118.43698348598116, 118.03481110460125, 117.64502219789009, 117.26653875570298, 116.89843064984451, 116.53988870121829, 116.1902037434511]","[133.86629340916406, 135.17781634576306, 136.18418329037007, 137.0325898700673, 137.7800510717583, 138.45580765185565, 139.07722996091726, 139.65563574327075, 140.19888633097472, 140.7127055120503, 141.20141428411281, 141.66836963248718, 142.11624119137485, 142.5471934899236, 142.96301041050322, 143.36518279188314, 143.7549716985943, 144.1334551407814, 144.50156324663985, 144.86010519526607, 145.20979015303328]"
2023-02-20 00:00:00+01:00,"[130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156, 130.36000061035156]","[127.19521258930314, 125.88431446901465, 124.87842696281758, 124.03042456839405, 123.28331946107642, 122.60788481489999, 121.98675855463183, 121.40862832777627, 120.865636547454, 120.352062152486, 119.86358620380263, 119.39685331536407, 118.94919512479642, 118.51844813414478, 118.10282931089006, 117.7008485265062, 117.31124531723988, 116.93294218651599, 116.56500944925699, 116.20663831186359, 115.85711994581307]","[133.52478863139999, 134.83568675168846, 135.84157425788553, 136.68957665230909, 137.4366817596267, 138.11211640580314, 138.73324266607128, 139.31137289292684, 139.85436467324914, 140.3679390682171, 140.8564150169005, 141.32314790533906, 141.77080609590672, 142.20155308655833, 142.61717190981307, 143.01915269419692, 143.40875590346323, 143.78705903418714, 144.15499177144613, 144.51336290883955, 144.86288127489007]"
2023-02-21 00:00:00+01:00,"[130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578]","[127.20076450152624, 125.91701786093098, 124.93196441788295, 124.10152595116779, 123.36989497480081, 122.70845001235472, 122.10018859398889, 121.53403267001444, 121.00228740083755, 120.49935022058715, 120.02099164457962, 119.56392578393485, 119.1255395437217, 118.70371423661541, 118.29670376048117, 117.90304885051434, 117.52151514983866, 117.15104747911784, 116.7907354090236, 116.43978689778707, 116.09750779822728]","[133.3992416019894, 134.68298824258466, 135.6680416856327, 136.49848015234784, 137.2301111287148, 137.8915560911609, 138.49981750952674, 139.06597343350117, 139.5977187026781, 140.10065588292846, 140.579014458936, 141.03608031958078, 141.47446655979394, 141.8962918669002, 142.30330234303446, 142.69695725300127, 143.07849095367695, 143.4489586243978, 143.80927069449203, 144.16021920572854, 144.50249830528833]"
2023-02-22 00:00:00+01:00,"[129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125, 129.67999267578125]","[126.58301452912193, 125.3002041784188, 124.31586917586334, 123.48603638249709, 122.75493901506081, 122.0939764719625, 121.48615868397108, 120.92041568108073, 120.38905823586458, 119.88648786863622, 119.40847817945132, 118.95174567596536, 118.51367916908613, 118.09216151673579, 117.68544789028448, 117.29208008923015, 116.91082465696444, 116.54062718373723, 116.1805779042343, 115.8298853543558, 115.48785589319118]","[132.77697082244057, 134.0597811731437, 135.04411617569914, 135.87394896906542, 136.6050463365017, 137.2660088796, 137.8738266675914, 138.43956967048177, 138.97092711569792, 139.47349748292626, 139.95150717211118, 140.40823967559714, 140.84630618247638, 141.26782383482671, 141.67453746127802, 142.06790526233235, 142.44916069459805, 142.81935816782527, 143.1794074473282, 143.53009999720672, 143.87212945837132]"
2023-02-23 00:00:00+01:00,"[129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938, 129.66000366210938]","[126.58082275277023, 125.30538425907064, 124.32670588135456, 123.50164184332289, 122.7747458336784, 122.11758160836212, 121.5132567340567, 120.95076485595538, 120.42246093389959, 119.92277866068395, 119.44751592398859, 118.99340810053725, 118.55785900681718, 118.13876366721664, 117.73438728001831, 117.3432800244823, 116.96421553223873, 116.59614545285713, 116.23816524912249, 115.88948800519903, 115.54942406628497]","[132.7391845714485, 134.0146230651481, 134.9933014428642, 135.81836548089586, 136.54526149054035, 137.20242571585663, 137.80675059016207, 138.36924246826337, 138.89754639031915, 139.3972286635348, 139.87249140023016, 140.32659922368148, 140.76214831740157, 141.1812436570021, 141.58562004420043, 141.97672729973647, 142.35579179198004, 142.72386187136163, 143.08184207509626, 143.43051931901974, 143.77058325793377]"
2023-02-24 00:00:00+01:00,"[130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578, 130.3000030517578]","[127.28667781479831, 126.0385176338442, 125.08077064167263, 124.27335257791441, 123.56200298369086, 122.9188937922587, 122.32749385552249, 121.77703221598405, 121.26002734101371, 120.77103197224264, 120.30593386960633, 119.86153823163109, 119.4353044004184, 119.02517242031107, 118.62944459248934, 118.2467021041088, 117.87574481563001, 117.51554679811203, 117.16522286003872, 116.82400291565773, 116.49121206009012]","[133.31332828871732, 134.56148846967142, 135.519235461843, 136.32665352560122, 137.03800311982477, 137.68111231125692, 138.27251224799312, 138.82297388753156, 139.33997876250191, 139.828974131273, 140.29407223390928, 140.73846787188452, 141.16470170309722, 141.57483368320456, 141.9705615110263, 142.35330399940682, 142.7242612878856, 143.08445930540358, 143.4347832434769, 143.7760031878579, 144.1087940434255]"
2023-02-27 00:00:00+01:00,"[127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889, 127.90000152587889]","[124.88502005859998, 123.63617384457501, 122.67790044071488, 121.87003859137513, 121.15829801420567, 120.5148353471714, 119.92311035607202, 119.37234616330936, 118.85505712413828, 118.36579298618369, 117.90043924914823, 117.45579935558209, 117.02933125115109, 116.61897384797346, 116.22302851411396, 115.84007565689842, 115.4689144771481, 115.10851848203522, 114.75800199351099, 114.41659450255663, 114.08362073334158]","[130.91498299315782, 132.16382920718277, 133.12210261104292, 133.92996446038265, 134.64170503755213, 135.28516770458637, 135.87689269568577, 136.4276568884484, 136.9449459276195, 137.4342100655741, 137.89956380260955, 138.3442036961757, 138.7706718006067, 139.18102920378433, 139.57697453764382, 139.95992739485936, 140.33108857460968, 140.69148456972258, 141.0420010582468, 141.38340854920114, 141.7163823184162]"
2023-02-28 00:00:00+01:00,"[129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375, 129.55999755859375]","[126.53813141950627, 125.28643348099224, 124.32597187197656, 123.51626528035946, 122.80289945261856, 122.15796744675443, 121.56489125915166, 121.0128694033488, 120.49439914122584, 120.00401777482557, 119.5376014084414, 119.09194618532513, 118.66450424639382, 118.25320979729761, 117.85636032729687, 117.47253300209552, 117.10052428050516, 116.73930532571467, 116.38798843724067, 116.04580134661683, 115.7120672360288]","[132.58186369768123, 133.83356163619524, 134.79402324521092, 135.60372983682802, 136.31709566456894, 136.96202767043306, 137.55510385803584, 138.1071257138387, 138.62559597596166, 139.11597734236193, 139.5823937087461, 140.02804893186237, 140.45549087079368, 140.86678531988989, 141.26363478989063, 141.647462115092, 142.01947083668233, 142.38068979147283, 142.73200667994683, 143.07419377057067, 143.40792788115868]"
2023-03-01 00:00:00+01:00,"[129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062, 129.33999633789062]","[126.53354657114035, 125.37107701569178, 124.47908275308438, 123.72709680451355, 123.06458388414585, 122.46562642076762, 121.91482818826086, 121.40215769358026, 120.92064703785933, 120.46522293634575, 120.03205546884774, 119.61816916834943, 119.22119780213254, 118.83922283780547, 118.47066312959669, 118.11419727119822, 117.76870751690865, 117.43323837144933, 117.10696541484282, 116.78917143045628, 116.4792278480256]","[132.1464461046409, 133.30891566008947, 134.20090992269687, 134.95289587126769, 135.61540879163542, 136.21436625501363, 136.7651644875204, 137.277834982201, 137.75934563792194, 138.2147697394355, 138.6479372069335, 139.06182350743182, 139.4587948736487, 139.84076983797578, 140.20932954618456, 140.565795404583, 140.9112851588726, 141.24675430433192, 141.57302726093843, 141.89082124532496, 142.20076482775565]"
2023-03-02 00:00:00+01:00,"[128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156, 128.86000061035156]","[126.09214798518147, 124.94566588919186, 124.06593923570357, 123.32429536002371, 122.6708939887847, 122.08017399547872, 121.53695089849288, 121.03133116804088, 120.55644273486321, 120.10728208716118, 119.68007197768695, 119.27187786106268, 118.88036604740056, 118.50364438991082, 118.14015348834104, 117.78859010970203, 117.44785188066405, 117.11699644688795, 116.79521072665533, 116.48178736722335, 116.17610644306326]","[131.62785323552166, 132.77433533151125, 133.65406198499957, 134.3957058606794, 135.0491072319184, 135.63982722522442, 136.18305032221025, 136.68867005266225, 137.1635584858399, 137.61271913354193, 138.03992924301616, 138.44812335964045, 138.83963517330258, 139.2163568307923, 139.57984773236208, 139.9314111110011, 140.27214934003908, 140.60300477381517, 140.9247904940478, 141.23821385347978, 141.54389477763985]"
