Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-27 00:00:00+11:00,"[27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172]","[26.835791666530003, 26.634244892390058, 26.479592613268238, 26.349214710983382, 26.23434947320038, 26.130503360412714, 26.035007004038867, 25.946121162776848, 25.862637755492415, 25.783677185665145, 25.708575428971816, 25.636816604565702, 25.56799045949098, 25.50176436222817, 25.437864176712242, 25.37606080001536, 25.31616043950069, 25.257997433202988, 25.201428844744967, 25.14633032446258, 25.092592892031618]","[27.80894557712234, 28.010492351262286, 28.165144630384106, 28.29552253266896, 28.410387770451965, 28.51423388323963, 28.609730239613476, 28.698616080875496, 28.78209948815993, 28.8610600579872, 28.936161814680528, 29.00792063908664, 29.076746784161365, 29.142972881424175, 29.2068730669401, 29.268676443636984, 29.328576804151655, 29.386739810449356, 29.443308398907376, 29.498406919189765, 29.552144351620726]"
2023-02-28 00:00:00+11:00,"[27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959, 27.0532283782959]","[26.566199761219472, 26.364465902595658, 26.2096700685069, 26.0791711437889, 25.964199283102953, 25.860256775843386, 25.764671775604555, 25.675703426645, 25.59214252643703, 25.513108661980475, 25.43793719257586, 25.366111758513437, 25.29722172602275, 25.2309341548213, 25.166974654379032, 25.105113909104833, 25.045157946475108, 24.98694095074999, 24.930319852872433, 24.87517018775163, 24.821382873903104]","[27.540256995372324, 27.74199085399614, 27.896786688084898, 28.027285612802896, 28.142257473488844, 28.24619998074841, 28.341784980987242, 28.430753329946796, 28.514314230154767, 28.593348094611322, 28.668519564015938, 28.74034499807836, 28.809235030569045, 28.8755226017705, 28.939482102212764, 29.001342847486963, 29.06129881011669, 29.119515805841807, 29.176136903719364, 29.23128656884017, 29.285073882688692]"
2023-03-01 00:00:00+11:00,"[27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188, 27.164596557617188]","[26.677641244756344, 26.475937750184, 26.321165215190785, 26.190685932498482, 26.075731376774762, 25.97180451439133, 25.876233901097365, 25.787278943177178, 25.703730620106622, 25.624708651401114, 25.54954849639968, 25.47773387311251, 25.4088542095757, 25.34257661561926, 25.278626742013017, 25.216775307681267, 25.156828369296175, 25.09862013607561, 25.04200756049654, 24.986866196201994, 24.933086978125885]","[27.65155187047803, 27.853255365050376, 28.00802790004359, 28.138507182735893, 28.253461738459613, 28.357388600843045, 28.45295921413701, 28.541914172057197, 28.625462495127753, 28.70448446383326, 28.779644618834695, 28.851459242121866, 28.920338905658674, 28.986616499615113, 29.050566373221358, 29.112417807553108, 29.1723647459382, 29.230572979158765, 29.287185554737835, 29.34232691903238, 29.39610613710849]"
2023-03-02 00:00:00+11:00,"[27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086, 27.173879623413086]","[26.68712449509529, 26.485503919130373, 26.3307950098957, 26.200369366223768, 26.085462067437508, 25.98157792859801, 25.88604660366171, 25.79712821445612, 25.713614237475298, 25.63462475411071, 25.559495496888633, 25.487710396058617, 25.418859048439614, 25.352608700710135, 25.288685116422812, 25.22685910875759, 25.166936814115225, 25.10875250986888, 25.05216320730124, 24.997044511214295, 24.94328740137774]","[27.660634751730882, 27.8622553276958, 28.016964236930473, 28.147389880602404, 28.262297179388664, 28.36618131822816, 28.46171264316446, 28.550631032370053, 28.634145009350874, 28.71313449271546, 28.78826374993754, 28.860048850767555, 28.928900198386557, 28.995150546116037, 29.05907413040336, 29.12090013806858, 29.180822432710947, 29.239006736957293, 29.29559603952493, 29.350714735611877, 29.40447184544843]"
2023-03-03 00:00:00+11:00,"[27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984, 27.201717376708984]","[26.715255508839206, 26.513756405094774, 26.35914070480465, 26.22879363991848, 26.113955570437305, 26.010134019676652, 25.9146602504207, 25.825795432737426, 25.742331771231292, 25.663389877426564, 25.588305884056993, 25.516564032293545, 25.447754166214658, 25.3815437329759, 25.31765866135174, 25.25586990260249, 25.195983709927766, 25.137834460545218, 25.081279251885327, 25.02619376369563, 24.9724690414283]","[27.688179244578762, 27.889678348323194, 28.04429404861332, 28.17464111349949, 28.289479182980664, 28.393300733741317, 28.48877450299727, 28.577639320680543, 28.661102982186677, 28.740044875991405, 28.815128869360976, 28.886870721124424, 28.95568058720331, 29.02189102044207, 29.08577609206623, 29.147564850815478, 29.207451043490202, 29.26560029287275, 29.32215550153264, 29.37724098972234, 29.430965711989668]"
2023-03-06 00:00:00+11:00,"[27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172, 27.322368621826172]","[26.835983340488657, 26.63451596076602, 26.479924603060955, 26.349598059885153, 26.234778070375487, 26.13097286514808, 26.03551412715464, 25.946663300224895, 25.863212779118538, 25.784283313810526, 25.709211141553602, 25.637480584719523, 25.56868155196141, 25.502481542791703, 25.438606529134432, 25.37682749831114, 25.316950734024758, 25.25881063956843, 25.20226433487107, 25.147187519253066, 25.093471255320278]","[27.808753903163687, 28.010221282886324, 28.16481264059139, 28.29513918376719, 28.409959173276857, 28.513764378504263, 28.609223116497702, 28.69807394342745, 28.781524464533806, 28.860453929841817, 28.93552610209874, 29.00725665893282, 29.076055691690932, 29.14225570086064, 29.20613071451791, 29.267909745341203, 29.327786509627586, 29.385926604083913, 29.442472908781273, 29.497549724399278, 29.551265988332066]"
2023-03-07 00:00:00+11:00,"[27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422]","[27.003404774910987, 26.802089912961137, 26.647615586331085, 26.517387704939612, 26.402654638218493, 26.298928017205405, 26.203541544859377, 26.114757981157055, 26.031370635057115, 25.95250092215734, 25.87748558220201, 25.805809327948843, 25.73706237850448, 25.670912485095876, 25.60708582709593, 25.545353565196834, 25.48552212975157, 25.427426049415814, 25.370922552283734, 25.315887431775707, 25.262211832967054]","[27.975438914053857, 28.176753776003707, 28.33122810263376, 28.461455984025232, 28.57618905074635, 28.67991567175944, 28.775302144105467, 28.86408570780779, 28.94747305390773, 29.026342766807502, 29.101358106762834, 29.173034361016, 29.241781310460365, 29.307931203868968, 29.371757861868915, 29.43349012376801, 29.493321559213275, 29.55141763954903, 29.60792113668111, 29.662956257189137, 29.71663185599779]"
2023-03-08 00:00:00+11:00,"[27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773, 27.656469345092773]","[27.170883831531402, 26.969747726620838, 26.815410564999038, 26.685298319027428, 26.57066712914142, 26.467032611819025, 26.371730837552434, 26.283026108896596, 26.199712806288474, 26.120913125462526, 26.045964395103116, 25.974351785515786, 25.905665879670885, 25.839574723814657, 25.775804740458177, 25.714127293490776, 25.654348985144974, 25.5963044910062, 25.539851165942455, 25.484864913662946, 25.431236975900354]","[28.142054858654145, 28.34319096356471, 28.49752812518651, 28.62764037115812, 28.742271561044127, 28.84590607836652, 28.941207852633113, 29.02991258128895, 29.113225883897073, 29.19202556472302, 29.26697429508243, 29.33858690466976, 29.407272810514662, 29.47336396637089, 29.53713394972737, 29.59881139669477, 29.658589705040573, 29.716634199179346, 29.773087524243092, 29.8280737765226, 29.881701714285192]"
2023-03-09 00:00:00+11:00,"[27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422, 27.489421844482422]","[27.00486243360905, 26.804151354271603, 26.65014032625293, 26.520303023630497, 26.405914063699445, 26.302498538996733, 26.207398149228354, 26.11888086469352, 26.035743613453096, 25.957110446151006, 25.882320091778443, 25.810858808540065, 25.742318044555283, 25.67636654752988, 25.61273131807816, 25.551184203225983, 25.49153221387938, 25.43361037497483, 25.377276342807217, 25.322406283316646, 25.26889166805553]","[27.973981255355795, 28.17469233469324, 28.328703362711913, 28.458540665334347, 28.5729296252654, 28.67634514996811, 28.77144553973649, 28.859962824271324, 28.943100075511747, 29.021733242813838, 29.0965235971864, 29.16798488042478, 29.23652564440956, 29.302477141434963, 29.366112370886682, 29.42765948573886, 29.487311475085463, 29.545233313990014, 29.601567346157626, 29.656437405648198, 29.709952020909313]"
2023-03-10 00:00:00+11:00,"[27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508, 27.637910842895508]","[27.154230985029777, 26.953884228428034, 26.800152755083367, 26.670551127955157, 26.556369802303752, 26.45314199333914, 26.358214226007764, 26.26985761451996, 26.186871270704735, 26.108380835194318, 26.03372623729264, 25.962394667727974, 25.8939783162068, 25.82814653171085, 25.764626810392027, 25.703191413410362, 25.643647701978004, 25.585831000487573, 25.52959922361059, 25.47482876206579, 25.421411284402108]","[28.12159070076124, 28.32193745736298, 28.47566893070765, 28.60527055783586, 28.719451883487263, 28.822679692451874, 28.91760745978325, 29.005964071271055, 29.08895041508628, 29.167440850596698, 29.242095448498375, 29.31342701806304, 29.381843369584217, 29.447675154080166, 29.51119487539899, 29.572630272380653, 29.63217398381301, 29.689990685303442, 29.746222462180427, 29.800992923725225, 29.854410401388908]"
