Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-28 00:00:00+00:00,"[775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812, 775.5667114257812]","[762.2134383805137, 756.6823315830894, 752.4381640640323, 748.860165335239, 745.7078851744388, 742.8580060688056, 740.2372717592503, 737.7979517403926, 735.5068922899659, 733.3399543845895, 731.278915011448, 729.3096167022794, 727.4208007657821, 725.60333869833, 723.8497073040825, 722.1536192446932, 720.5097562124115, 718.9135718976968, 717.3611436559347, 715.8490589230933, 714.3743269204084]","[788.9199844710488, 794.4510912684731, 798.6952587875302, 802.2732575163235, 805.4255376771237, 808.2754167827569, 810.8961510923122, 813.3354711111699, 815.6265305615966, 817.793468466973, 819.8545078401145, 821.8238061492831, 823.7126220857804, 825.5300841532325, 827.28371554748, 828.9798036068693, 830.623666639151, 832.2198509538657, 833.7722791956278, 835.2843639284692, 836.7590959311541]"
2023-03-01 00:00:00+00:00,"[769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188, 769.3717651367188]","[756.0056526485507, 750.4692275797603, 746.2209792075522, 742.6395401604104, 739.4842290182993, 736.6316096961027, 734.0083554973534, 731.5666900228213, 729.273427672264, 727.10440621214, 725.0413851078375, 723.0701932784017, 721.179561207071, 719.3603516129776, 717.6050340665759, 715.907315184116, 714.2618715441864, 712.664152465878, 711.1102315328737, 709.5966928998922, 708.1205429124749]","[782.7378776248868, 788.2743026936772, 792.5225510658853, 796.1039901130271, 799.2593012551382, 802.1119205773348, 804.7351747760841, 807.1768402506162, 809.4701026011735, 811.6391240612975, 813.7021451656, 815.6733369950358, 817.5639690663666, 819.3831786604599, 821.1384962068616, 822.8362150893215, 824.4816587292511, 826.0793778075595, 827.6332987405638, 829.1468373735453, 830.6229873609626]"
2023-03-02 00:00:00+00:00,"[773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625, 773.8681640625]","[760.5701776874536, 755.061971378664, 750.8353760225729, 747.2721913124227, 744.1329625640487, 741.2948828371746, 738.6849991762255, 736.2557786948391, 733.9742049373884, 731.8162388234967, 729.763732789244, 727.8025879826548, 725.9215923268832, 724.1116551131245, 722.3652842938897, 720.6762185623533, 719.0391616301994, 717.4495860110118, 715.9035853011347, 714.3977610656045, 712.9291349084037]","[787.1661504375464, 792.674356746336, 796.9009521024271, 800.4641368125773, 803.6033655609513, 806.4414452878254, 809.0513289487745, 811.4805494301609, 813.7621231876116, 815.9200893015033, 817.972595335756, 819.9337401423452, 821.8147357981168, 823.6246730118755, 825.3710438311103, 827.0601095626467, 828.6971664948006, 830.2867421139882, 831.8327428238653, 833.3385670593955, 834.8071932165963]"
2023-03-03 00:00:00+00:00,"[778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875, 778.2645263671875]","[765.012906394628, 759.5239056785834, 755.3120472921261, 751.7612864220764, 748.6330032965601, 745.8048191691531, 743.2040354510705, 740.783284989985, 738.5096664495231, 736.3592245669366, 734.313875053844, 732.3595682170693, 730.4851310731792, 728.6815046101576, 726.9412229032141, 725.2580464769694, 723.6266975098007, 722.0426643013852, 720.5020540686173, 719.0014802259361, 717.5379747621681]","[791.516146339747, 797.0051470557916, 801.2170054422489, 804.7677663122986, 807.8960494378149, 810.7242335652219, 813.3250172833045, 815.74576774439, 818.0193862848519, 820.1698281674384, 822.215177680531, 824.1694845173057, 826.0439216611958, 827.8475481242174, 829.5878298311609, 831.2710062574056, 832.9023552245743, 834.4863884329898, 836.0269986657577, 837.5275725084389, 838.9910779722069]"
2023-03-06 00:00:00+00:00,"[778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125, 778.3643798828125]","[765.302847810365, 759.8925840805808, 755.7411427086345, 752.2413157379065, 749.157906278513, 746.3702910463038, 743.8068142776056, 741.4207882783414, 739.1797836654503, 737.0601888025179, 735.0441788112887, 733.1179055344501, 731.270356259461, 729.4926019213289, 727.7772836902426, 726.1182515929947, 724.51030351569, 722.9489924761036, 721.430481531168, 719.9514326742085, 718.5089204686961]","[791.42591195526, 796.8361756850442, 800.9876170569905, 804.4874440277185, 807.570853487112, 810.3584687193212, 812.9219454880194, 815.3079714872836, 817.5489761001747, 819.6685709631071, 821.6845809543363, 823.6108542311749, 825.458403506164, 827.2361578442961, 828.9514760753824, 830.6105081726303, 832.218456249935, 833.7797672895214, 835.298278234457, 836.7773270914165, 838.2198392969289]"
2023-03-07 00:00:00+00:00,"[776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938, 776.5658569335938]","[763.872921136253, 758.6153349826653, 754.5810472353927, 751.179985338916, 748.1835896567038, 745.4746408922073, 742.9835054065265, 740.6648130317395, 738.4870495415782, 736.4272696197188, 734.4681514057515, 732.5962375371938, 730.8008260801176, 729.0732399476351, 727.4063279760222, 725.7941137442402, 724.2315419419841, 722.7142910808132, 721.238632496146, 719.8013223798157, 718.3995178510761]","[789.2587927309345, 794.5163788845222, 798.5506666317948, 801.9517285282715, 804.9481242104837, 807.6570729749802, 810.148208460661, 812.466900835448, 814.6446643256093, 816.7044442474687, 818.663562461436, 820.5354763299937, 822.3308877870699, 824.0584739195524, 825.7253858911653, 827.3376001229473, 828.9001719252034, 830.4174227863743, 831.8930813710415, 833.3303914873718, 834.7321960161114]"
2023-03-08 00:00:00+00:00,"[775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188, 775.6666870117188]","[762.9790449116527, 757.7236514792868, 753.6910462661826, 750.2914028116232, 747.2962568018265, 744.5884378275528, 742.098341291206, 739.7806159468806, 737.6037607115857, 735.5448398385375, 733.5865386915564, 731.7154055206677, 729.9207428552762, 728.1938772273473, 726.527660455611, 724.916118611546, 723.3541984932076, 721.8375804144687, 720.3625372658194, 718.9258265919507, 717.524606697764]","[788.3543291117848, 793.6097225441507, 797.6423277572549, 801.0419712118143, 804.037117221611, 806.7449361958847, 809.2350327322315, 811.5527580765569, 813.7296133118518, 815.7885341849, 817.7468353318811, 819.6179685027698, 821.4126311681613, 823.1394967960902, 824.8057135678265, 826.4172554118915, 827.9791755302299, 829.4957936089688, 830.9708367576181, 832.4075474314868, 833.8087673256734]"
2023-03-09 00:00:00+00:00,"[777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562, 777.0654907226562]","[764.3780224611636, 759.1227010350632, 755.0901510743138, 751.6905541996455, 748.6954492275573, 745.9876673542083, 743.4976049356833, 741.1799113474522, 739.0030859381332, 736.9441932751945, 734.9859189596913, 733.1148114259568, 731.3201733499661, 729.5933313825235, 727.9271374402988, 726.3156176766221, 724.7537189587846, 723.237121659845, 721.7620987213602, 720.3254077324469, 718.9242070369424]","[789.7529589841489, 795.0082804102493, 799.0408303709987, 802.440427245667, 805.4355322177552, 808.1433140911042, 810.6333765096292, 812.9510700978603, 815.1278955071793, 817.186788170118, 819.1450624856212, 821.0161700193557, 822.8108080953464, 824.537650062789, 826.2038440050137, 827.8153637686904, 829.3772624865279, 830.8938597854675, 832.3688827239523, 833.8055737128656, 835.20677440837]"
2023-03-10 00:00:00+00:00,"[772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375, 772.868896484375]","[760.5043831496832, 755.3828340343205, 751.4529311778415, 748.1398698150116, 745.2210041593256, 742.582147896569, 740.1554691184691, 737.89677158428, 735.7753564803355, 733.7688721872634, 731.8604450378969, 730.0369658713196, 728.2880096600302, 726.6051238318073, 724.9813422552028, 723.4108431456582, 721.8887019961348, 720.4107091342365, 718.9732323724479, 717.5731118342852, 716.2075781969177]","[785.2334098190668, 790.3549589344295, 794.2848617909085, 797.5979231537384, 800.5167888094244, 803.155645072181, 805.5823238502809, 807.84102138447, 809.9624364884145, 811.9689207814866, 813.8773479308531, 815.7008270974304, 817.4497833087198, 819.1326691369427, 820.7564507135472, 822.3269498230918, 823.8490909726152, 825.3270838345135, 826.7645605963021, 828.1646811344648, 829.5302147718323]"
2023-03-13 00:00:00+00:00,"[759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625, 759.5797119140625]","[747.1381476324, 741.9846829697985, 738.0302904525886, 734.6965833507372, 731.7595284338314, 729.1042278219522, 726.6624269041591, 724.3896540255345, 722.2550190690745, 720.2360311286118, 718.3157113866998, 716.4808689911146, 714.7210139495464, 713.0276410165565, 711.3937406504139, 709.8134547874117, 708.2818282328553, 706.7946250812704, 705.3481905107296, 703.9393449536003, 702.5653018296844]","[772.021276195725, 777.1747408583265, 781.1291333755364, 784.4628404773878, 787.3998953942936, 790.0551960061728, 792.4969969239659, 794.7697698025905, 796.9044047590505, 798.9233926995132, 800.8437124414252, 802.6785548370104, 804.4384098785786, 806.1317828115685, 807.7656831777111, 809.3459690407133, 810.8775955952697, 812.3647987468546, 813.8112333173954, 815.2200788745247, 816.5941219984406]"
