Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-28 00:00:00-05:00,"[385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031, 385.6535949707031]","[374.40689046001506, 369.7483529196877, 366.173731340481, 363.16018594933183, 360.50519916195685, 358.104907631666, 355.89761176640144, 353.84311086867564, 351.9134814386475, 350.08839254604845, 348.35249598076285, 346.6938677102617, 345.1030251774358, 343.57227996143445, 342.095295701104, 340.6667769279629, 339.2822443330381, 337.93786881766283, 336.63034656076405, 335.35680335321274, 334.1147202316878]","[396.9002994813912, 401.55883702171855, 405.1334586009252, 408.1470039920744, 410.8019907794494, 413.20228230974027, 415.4095781750048, 417.4640790727306, 419.3937085027587, 421.2187973953578, 422.9546939606434, 424.61332223114454, 426.2041647639704, 427.7349099799718, 429.21189424030223, 430.6404130134433, 432.02494560836817, 433.3693211237434, 434.6768433806422, 435.9503865881935, 437.19246970971847]"
2023-03-01 00:00:00-05:00,"[384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531, 384.2283020019531]","[372.9809923309391, 368.3222041249918, 364.74739020329076, 361.7336826599182, 359.07855301356676, 356.67813232888886, 354.47071769390794, 352.4161062480256, 350.48637298889884, 348.66118589229666, 346.92519592225017, 345.2664784046244, 343.6755502720748, 342.1447226900536, 340.66765895646165, 339.23906331787987, 337.85445622431354, 336.51000837106045, 335.2024157592764, 333.9288040251773, 332.6866540699025]","[395.47561167296715, 400.13439987891445, 403.7092138006155, 406.72292134398805, 409.3780509903395, 411.7784716750174, 413.9858863099983, 416.04049775588066, 417.9702310150074, 419.7954181116096, 421.5314080816561, 423.1901255992818, 424.78105373183143, 426.31188131385267, 427.7889450474446, 429.2175406860264, 430.6021477795927, 431.9465956328458, 433.25418824462986, 434.5277999787289, 435.76994993400376]"
2023-03-02 00:00:00-05:00,"[382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281, 382.7544250488281]","[371.53305879595865, 366.8850167056677, 363.31844856852484, 360.3116925430962, 357.6626873069983, 355.26780351242064, 353.06548057337346, 351.01560836251224, 349.09032629023227, 347.269349230825, 345.53736355291795, 343.88247208822565, 342.2952136433617, 340.7679171190996, 339.29426042978776, 337.8689600373679, 336.4875467245241, 335.1462000193557, 333.84162354413183, 332.57094956517165, 331.33166479425137]","[393.9757913016976, 398.62383339198857, 402.1904015291314, 405.19715755456, 407.84616279065796, 410.2410465852356, 412.4433695242828, 414.493241735144, 416.418523807424, 418.23950086683124, 419.9714865447383, 421.6263780094306, 423.21363645429454, 424.74093297855666, 426.2145896678685, 427.63989006028834, 429.0213033731321, 430.36265007830053, 431.6672265535244, 432.9379005324846, 434.1771853034049]"
2023-03-03 00:00:00-05:00,"[385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875, 385.73114013671875]","[374.54262398304655, 369.908188849369, 366.3520616972599, 363.35410782938277, 360.7128574497633, 358.3249845813463, 356.12910885428596, 354.0852375620253, 352.16559167571717, 350.34994545354414, 348.6230300941747, 346.9729832578059, 345.39037144831525, 343.86754602331115, 342.398203404794, 340.97707552205105, 339.5997062412207, 338.26228627468026, 336.9615288947125, 335.6945747628116, 334.4589179483043]","[396.91965629039095, 401.5540914240685, 405.1102185761776, 408.10817244405473, 410.7494228236742, 413.1372956920912, 415.33317141915154, 417.3770427114122, 419.29668859772033, 421.11233481989336, 422.8392501792628, 424.4892970156316, 426.07190882512225, 427.59473425012635, 429.0640768686435, 430.48520475138645, 431.8625740322168, 433.19999399875724, 434.500751378725, 435.7677055106259, 437.0033623251332]"
2023-03-06 00:00:00-05:00,"[391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719, 391.9174499511719]","[380.70574237036607, 376.0617010330412, 372.4982027816211, 369.4940347895733, 366.84730965665585, 364.45448723292134, 362.25405992000174, 360.2059521149197, 358.28232720877753, 356.46291753607386, 354.7324226464819, 353.0789556120778, 351.493063383097, 349.9670814631305, 348.49469320819486, 347.0706196279811, 345.6903953520049, 344.35020319679614, 343.0467496219462, 341.7771693621457, 340.53895129245683]","[403.1291575319777, 407.7731988693026, 411.33669712072265, 414.3408651127705, 416.9875902456879, 419.3804126694224, 421.580839982342, 423.62894778742407, 425.5525726935662, 427.3719823662699, 429.10247725586186, 430.755944290266, 432.3418365192467, 433.86781843921324, 435.3402066941489, 436.76428027436265, 438.14450455033887, 439.4846967055476, 440.78815028039753, 442.05773054019807, 443.2959486098869]"
2023-03-07 00:00:00-05:00,"[392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625, 392.18902587890625]","[380.98505744791197, 376.34422177138293, 372.7831833100081, 369.78108901689393, 367.136190849413, 364.74502012868686, 362.5461117134409, 360.4994176638428, 358.5771205858811, 356.75896680429616, 355.0296664302635, 353.3773407410962, 351.7925432122238, 350.26761463783936, 348.7962427341744, 347.3731521548697, 345.99388061176955, 344.65461355630634, 343.35205972151675, 342.0833558199091, 340.8459924599101]","[403.39299430990053, 408.03382998642957, 411.5948684478044, 414.59696274091857, 417.2418609083995, 419.63303162912564, 421.8319400443716, 423.8786340939697, 425.8009311719314, 427.61908495351634, 429.348385327549, 431.0007110167163, 432.5855085455887, 434.11043711997314, 435.5818090236381, 437.0048996029428, 438.38417114604295, 439.72343820150616, 441.02599203629575, 442.2946959379034, 443.5320592979024]"
2023-03-08 00:00:00-05:00,"[386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719, 386.1772155761719]","[375.0497481904849, 370.4406002844696, 366.90387670459734, 363.92228080479913, 361.29544208436533, 358.9205983517789, 356.7367041516639, 354.70398499276826, 352.7948134191131, 350.989074048164, 349.2715813909337, 347.6305378330235, 346.0565613510269, 344.5420450364329, 343.08071970594295, 341.667346033427, 340.29749219937196, 338.9673697010667, 337.67370974442093, 336.41366859255936, 335.18475398811245]","[397.3046829618589, 401.91383086787414, 405.4505544477464, 408.4321503475446, 411.0589890679784, 413.43383280056486, 415.61772700067985, 417.6504461595755, 419.55961773323065, 421.36535710417974, 423.08284976141005, 424.72389331932027, 426.29786980131684, 427.81238611591084, 429.2737114464008, 430.68708511891674, 432.0569389529718, 433.3870614512771, 434.6807214079228, 435.9407625597844, 437.1696771642313]"
2023-03-09 00:00:00-05:00,"[386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656, 386.8075256347656]","[375.68611793322674, 371.0794800305706, 367.54468244401556, 364.5647102316919, 361.9393020086398, 359.56575154454174, 357.3830466275414, 355.3514344263785, 353.44330253015613, 351.63854651057227, 349.9219891482004, 348.28183925326783, 346.708719911536, 345.19502835698734, 343.7344988203323, 342.32189482862015, 340.9527869757735, 339.62338882218575, 338.3304333538537, 337.07107838251574, 335.84283300801053]","[397.9289333363045, 402.53557123896064, 406.0703688255157, 409.05034103783936, 411.67574926089145, 414.0492997249895, 416.2320046419899, 418.26361684315276, 420.1717487393751, 421.976504758959, 423.69306212133085, 425.3332120162634, 426.90633135799527, 428.4200229125439, 429.88055244919894, 431.2931564409111, 432.66226429375774, 433.9916624473455, 435.28461791567753, 436.5439728870155, 437.7722182615207]"
2023-03-10 00:00:00-05:00,"[379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344, 379.6709899902344]","[368.59264140061157, 364.0038391660813, 360.4827273690297, 357.51429281096415, 354.8990494653695, 352.53468875294334, 350.36043468477203, 348.33668834191093, 346.4359442213222, 344.6381757336656, 342.9282644216431, 341.2944647478108, 339.72743610283055, 338.2196051565585, 336.76473039908547, 335.3575956316816, 333.99378859774345, 332.66953751774435, 331.3815880266844, 330.1271089404936, 328.90361900310893]","[390.7493385798572, 395.33814081438743, 398.85925261143905, 401.8276871695046, 404.44293051509925, 406.8072912275254, 408.9815452956967, 411.0052916385578, 412.90603575914656, 414.70380424680314, 416.41371555882563, 418.04751523265793, 419.6145438776382, 421.12237482391026, 422.5772495813833, 423.98438434878716, 425.3481913827253, 426.6724424627244, 427.9603919537843, 429.21487103997515, 430.4383609773598]"
2023-03-13 00:00:00-04:00,"[374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469, 374.1925964355469]","[363.09587443163554, 358.49946167972524, 354.9725101272947, 351.9991524277109, 349.37957170736763, 347.0112897084316, 344.8334296451591, 342.80632692389423, 340.90243042378927, 339.10168034145397, 337.3889331456656, 335.75242381903485, 334.1827962608456, 332.67246458060436, 331.2151769168729, 329.8057084198683, 328.4396395152704, 327.1131921680653, 325.8231066158967, 324.5665469791824, 323.3410278867025]","[385.2893184394582, 389.8857311913685, 393.41268274379905, 396.38604044338285, 399.0056211637261, 401.37390316266215, 403.5517632259347, 405.5788659471995, 407.4827624473045, 409.2835125296398, 410.99625972542816, 412.6327690520589, 414.2023966102482, 415.7127282904894, 417.17001595422084, 418.5794844512254, 419.94555335582334, 421.2720007030284, 422.5620862551971, 423.81864589191133, 425.0441649843913]"
2023-03-14 00:00:00-04:00,"[373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781, 373.6592102050781]","[362.5806817541705, 357.99180501867284, 354.4706360550161, 351.50215330327234, 348.88686749819453, 346.52246839946116, 344.3481790314372, 342.32439983227425, 340.4236248523721, 338.62582717725115, 336.91588810415936, 335.2820619049595, 333.7150078186651, 332.2071523921763, 330.7522540142507, 329.3450964014713, 327.9812672256001, 326.6569946458742, 325.3690242444577, 324.1145247913152, 322.8910149900996]","[384.73773865598577, 389.3266153914834, 392.84778435514016, 395.8162671068839, 398.4315529119617, 400.7959520106951, 402.97024137871904, 404.994020577882, 406.89479555778416, 408.6925932329051, 410.4025323059969, 412.03635850519674, 413.6034125914912, 415.11126801797997, 416.56616639590555, 417.9733240086849, 419.33715318455614, 420.66142576428206, 421.94939616569854, 423.20389561884105, 424.42740542005663]"
2023-03-15 00:00:00-04:00,"[379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875, 379.8358154296875]","[368.73688123329254, 364.1395521612561, 360.6118974916628, 357.6379470368911, 355.01784408874363, 352.64908995978374, 350.47079572814613, 348.44328889282025, 346.53901284049107, 344.73790376873654, 343.0248151273876, 341.3879795536343, 339.81803908157036, 338.30740630841336, 336.8498281263822, 335.44007864409144, 334.0737374061544, 332.7470256243853, 331.4566828865762, 330.19987274779686, 328.97410934135485]","[390.93474962608246, 395.5320786981189, 399.0597333677122, 402.0336838224839, 404.65378677063137, 407.02254089959126, 409.20083513122887, 411.22834196655475, 413.13261801888393, 414.93372709063846, 416.6468157319874, 418.2836513057407, 419.85359177780464, 421.36422455096164, 422.8218027329928, 424.23155221528356, 425.5978934532206, 426.9246052349897, 428.2149479727988, 429.47175811157814, 430.69752151802015]"
2023-03-16 00:00:00-04:00,"[377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031, 377.4602355957031]","[366.41030240210773, 361.8332702099906, 358.32118988413237, 355.36036920848414, 352.7518338279589, 350.39353757951346, 348.22486036152935, 346.2063048242581, 344.3104360148668, 342.5172787111899, 340.8117532339969, 339.18214417254535, 337.6191348756808, 336.115171438463, 334.66402836013566, 333.26050282125107, 331.9001938824177, 330.57933943853004, 329.2946934718675, 328.04343206020195, 326.823080311765]","[388.5101687892985, 393.08720098141566, 396.5992813072739, 399.5601019829221, 402.1686373634474, 404.5269336118928, 406.6956108298769, 408.71416636714815, 410.61003517653944, 412.4031924802164, 414.10871795740934, 415.7383270188609, 417.30133631572545, 418.80529975294326, 420.2564428312706, 421.6599683701552, 423.02027730898857, 424.3411317528762, 425.62577771953875, 426.8770391312043, 428.09739087964124]"
