Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-28 00:00:00-05:00,"[30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168, 30.46613883972168]","[29.893758779754094, 29.656671196446933, 29.474747495211826, 29.321378720557263, 29.18625811758793, 29.064099754906323, 28.951763546800482, 28.84720355371719, 28.74899866118915, 28.65611416442275, 28.56776894487735, 28.48335615114697, 28.402393186165547, 28.32448876208712, 28.249320401623425, 28.176618601778223, 28.10615539647193, 28.037735910866335, 27.971192003147102, 27.906377395798874, 27.84316389087942]","[31.038518899689265, 31.275606482996427, 31.457530184231533, 31.610898958886096, 31.74601956185543, 31.868177924537036, 31.980514132642877, 32.08507412572617, 32.183279018254204, 32.27616351502061, 32.36450873456601, 32.44892152829639, 32.52988449327781, 32.60778891735624, 32.68295727781993, 32.755659077665136, 32.826122282971426, 32.89454176857702, 32.96108567629626, 33.02590028364449, 33.089113788563935]"
2023-03-01 00:00:00-05:00,"[30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785, 30.40960121154785]","[29.837182573095955, 29.600079009687963, 29.418143046539843, 29.26476393463117, 29.129634224366164, 29.00746762806448, 28.89512384836645, 28.79055680781896, 28.692345296169247, 28.599454538882963, 28.511103364770896, 28.426684881524395, 28.345716459549656, 28.267806784627375, 28.192633357733868, 28.11992665770804, 28.04945870310509, 27.98103460595198, 27.9144862131014, 27.84966723717871, 27.78644947160097]","[30.982019849999748, 31.21912341340774, 31.40105937655586, 31.554438488464534, 31.68956819872954, 31.811734795031224, 31.924078574729254, 32.028645615276744, 32.12685712692646, 32.219747884212744, 32.30809905832481, 32.39251754157131, 32.47348596354605, 32.55139563846833, 32.626569065361835, 32.69927576538766, 32.769743719990615, 32.83816781714373, 32.9047162099943, 32.969535185916996, 33.03275295149473]"
2023-03-02 00:00:00-05:00,"[30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867, 30.484983444213867]","[29.912850730838343, 29.67586560152715, 29.494020516050774, 29.34071801756097, 29.205655805071846, 29.08355023142338, 28.971262567846022, 28.86674775890984, 28.768585304261787, 28.67574094624116, 28.587433903856596, 28.50305758794435, 28.422129609985852, 28.344258851224666, 28.26912297372653, 28.19645259095715, 28.12601983534927, 28.057629916277104, 27.991114764586445, 27.926328165973718, 27.863141977895634]","[31.05711615758939, 31.294101286900585, 31.47594637237696, 31.629248870866764, 31.76431108335589, 31.886416657004354, 31.998704320581712, 32.103219129517896, 32.20138158416595, 32.29422594218658, 32.38253298457114, 32.46690930048339, 32.54783727844188, 32.62570803720307, 32.7008439147012, 32.773514297470584, 32.843947053078466, 32.91233697215063, 32.978852123841286, 33.04363872245402, 33.1068249105321]"
2023-03-03 00:00:00-05:00,"[30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414]","[30.046431566718915, 29.81012890570421, 29.62880749653584, 29.47594647758396, 29.341273216370237, 29.219519281550287, 29.107554983246537, 29.003341155367025, 28.905461388306726, 28.812884402853623, 28.7248316665045, 28.6406983369472, 28.560003414842527, 28.482356907775312, 28.407437406078014, 28.33497629899392, 28.264746375167327, 28.196553404929226, 28.130229803129865, 28.06562977653267, 28.00262555161841]","[31.187401746269366, 31.42370440728407, 31.605025816452443, 31.75788683540432, 31.892560096618045, 32.014314031438, 32.126278329741744, 32.230492157621256, 32.328371924681555, 32.420948910134655, 32.50900164648378, 32.59313497604108, 32.673829898145755, 32.75147640521297, 32.826395906910264, 32.89885701399436, 32.969086937820954, 33.037279908059055, 33.10360350985842, 33.168203536455614, 33.23120776136987]"
2023-03-06 00:00:00-05:00,"[30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836, 30.97500228881836]","[30.40280014416599, 30.16578625515741, 29.983919101632168, 29.83059799893112, 29.695519395809818, 29.573399003901155, 29.461097713529718, 29.35657022108457, 29.25839585382569, 29.165540228578514, 29.077222469598908, 28.992835914109666, 28.91189811505132, 28.834017906202696, 28.758872910511815, 28.686193708752622, 28.61575240570472, 28.547354187103263, 28.480830963397814, 28.41603650254077, 28.35284264643797]","[31.54720443347073, 31.78421832247931, 31.96608547600455, 32.1194065787056, 32.2544851818269, 32.37660557373556, 32.488906864107, 32.593434356552144, 32.69160872381103, 32.784464349058204, 32.87278210803781, 32.95716866352705, 33.038106462585404, 33.11598667143402, 33.19113166712491, 33.26381086888409, 33.334252171932, 33.40265039053345, 33.469173614238905, 33.53396807509595, 33.59716193119875]"
2023-03-07 00:00:00-05:00,"[30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289, 30.88077163696289]","[30.30914885496968, 30.072374946238877, 29.8906919360027, 29.73752607325695, 29.602584239273025, 29.480587496111028, 29.368399912494016, 29.263978255713187, 29.165903291481897, 29.07314168395464, 28.98491334803608, 28.90061223520444, 28.81975638688533, 28.741955032919396, 28.666886122666355, 28.594280509691256, 28.52391052952109, 28.45558156514343, 28.38912569720107, 28.324396841708595, 28.261266970333846]","[31.4523944189561, 31.689168327686904, 31.87085133792308, 32.02401720066883, 32.15895903465275, 32.280955777814754, 32.39314336143177, 32.49756501821259, 32.595639982443885, 32.68840158997114, 32.7766299258897, 32.86093103872134, 32.94178688704045, 33.01958824100639, 33.094657151259426, 33.16726276423453, 33.23763274440469, 33.30596170878235, 33.372417576724715, 33.43714643221719, 33.50027630359193]"
2023-03-08 00:00:00-05:00,"[30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312, 30.513259887695312]","[29.94011751414796, 29.702714169677495, 29.52054817645254, 29.366975140226305, 29.231674579211475, 29.10935352202731, 28.996867700889844, 28.892168451395, 28.79383276638783, 28.70082456302045, 28.612361682432653, 28.527836464993666, 28.446765670898696, 28.36875749117173, 28.293489019038613, 28.220690392570148, 28.150133342074028, 28.081622733171326, 28.014990200110915, 27.95008927056024, 27.886791575838856]","[31.086402261242664, 31.32380560571313, 31.505971598938086, 31.65954463516432, 31.79484519617915, 31.917166253363316, 32.02965207450078, 32.134351323995624, 32.232687009002795, 32.32569521237017, 32.41415809295797, 32.49868331039696, 32.579754104491926, 32.6577622842189, 32.733030756352015, 32.80582938282048, 32.8763864333166, 32.9448970422193, 33.01152957527971, 33.076430504830384, 33.13972819955177]"
2023-03-09 00:00:00-05:00,"[30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414, 30.61691665649414]","[30.04376553503715, 29.806358567551083, 29.624189794223035, 29.470614414239396, 29.335311788322258, 29.212988864317676, 29.10050132645784, 28.995800479074177, 28.897463293295147, 28.80445367046106, 28.715989439775004, 28.63146293233254, 28.55039090095399, 28.47238153068379, 28.39711190981978, 28.324312172314272, 28.253754044991233, 28.185242390493684, 28.118608840500986, 28.053706920445197, 27.990408259686753]","[31.190067777951132, 31.4274747454372, 31.609643518765246, 31.763218898748885, 31.898521524666023, 32.02084444867061, 32.13333198653044, 32.238032833914104, 32.336370019693135, 32.42937964252722, 32.51784387321328, 32.60237038065574, 32.68344241203429, 32.76145178230449, 32.836721403168504, 32.90952114067401, 32.98007926799705, 33.0485909224946, 33.11522447248729, 33.18012639254309, 33.24342505330153]"
2023-03-10 00:00:00-05:00,"[30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539, 30.25882339477539]","[29.68592774947861, 29.4486266029795, 29.266539029045134, 29.11303210334879, 28.977789786884724, 28.855521386802156, 28.743083988868804, 28.638429810594562, 28.540136457404092, 28.447168292465054, 28.358743493622963, 28.274254662833926, 28.193218768319472, 28.11524416977053, 28.040008099418706, 27.967240811505672, 27.896714134605265, 27.828233018340523, 27.761629169438855, 27.696756178621516, 27.63348573246854]","[30.831719040072173, 31.069020186571283, 31.251107760505647, 31.40461468620199, 31.539857002666057, 31.662125402748625, 31.774562800681977, 31.87921697895622, 31.97751033214669, 32.07047849708573, 32.158903295927814, 32.243392126716856, 32.324428021231306, 32.40240261978025, 32.477638690132075, 32.550405978045106, 32.62093265494551, 32.689413771210255, 32.756017620111926, 32.82089061092927, 32.884161057082245]"
2023-03-13 00:00:00-04:00,"[29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172, 29.78765106201172]","[29.21204724205196, 28.973624333493554, 28.790676001174337, 28.636443422564593, 28.50056179303651, 28.37771540975632, 28.26474650141359, 28.159597605309422, 28.06083960297225, 27.967431961941696, 27.878589164259463, 27.79370094060969, 27.71228197584201, 27.633938778298177, 27.558347054432602, 27.485235783353666, 27.414375715030726, 27.345570877051063, 27.278652180591642, 27.21347252427256, 27.149902988114853]","[30.36325488197148, 30.601677790529884, 30.7846261228491, 30.938858701458845, 31.074740330986927, 31.197586714267118, 31.310555622609847, 31.415704518714016, 31.514462521051186, 31.607870162081742, 31.696712959763975, 31.78160118341375, 31.863020148181427, 31.94136334572526, 32.016955069590836, 32.09006634066977, 32.160926408992715, 32.22973124697238, 32.296649943431795, 32.36182959975088, 32.425399135908584]"
