Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-03-08 00:00:00+09:00,"[28381.88671875, 28389.638905876516, 28398.998039452144, 28420.78822788094, 28437.764390995817, 28434.172275981837, 28438.231362819024, 28451.632406402165, 28440.05800917679, 28432.3376676927, 28450.935553650637, 28479.869706050773, 28500.030514552283, 28501.079654095283, 28516.7447239542, 28515.117089032017, 28516.755125906482, 28528.51228641865, 28550.453892081143, 28555.933250061244, 28564.41918646779]","[28381.88671875, 27777.823944882333, 27540.240233932633, 27380.782525757935, 27244.370957426192, 27110.77378838871, 26988.120188647106, 26878.564294161366, 26768.52216700024, 26659.13122906687, 26570.844468452426, 26507.415333337973, 26446.502704901148, 26399.144037206675, 26327.73963212494, 26186.03409628567, 26145.87445708284, 26059.83985356422, 26004.88167322606, 25928.082277295405, 25862.40547322663]","[28381.88671875, 29001.4538668707, 29257.755844971656, 29460.793930003947, 29631.157824565442, 29757.570763574964, 29888.342536990942, 30024.700518642963, 30111.593851353344, 30205.54410631853, 30331.02663884885, 30452.324078763573, 30553.55832420342, 30603.01527098389, 30705.749815783463, 30844.200081778363, 30887.635794730126, 30997.18471927308, 31096.026110936225, 31183.784222827082, 31266.432899708947]"
2023-03-09 00:00:00+09:00,"[28493.24609375, 28513.053273266793, 28518.12986415703, 28533.87482647206, 28552.858853357357, 28564.118115473215, 28575.843511308187, 28599.316001103554, 28607.99100282253, 28628.835139188945, 28635.443117562205, 28663.105794652234, 28678.982168185375, 28676.449387455643, 28687.046446441444, 28694.808524316963, 28701.957629011613, 28711.549449630365, 28733.002101799782, 28734.674648869553, 28731.630081437557]","[28493.24609375, 27922.03246457358, 27677.347978944035, 27505.71208844229, 27355.87932191868, 27233.00621494461, 27115.450355160578, 27018.89421914287, 26921.51739294617, 26839.60556186717, 26765.1420621755, 26701.826290375466, 26637.582314859974, 26512.38470527468, 26418.172896949334, 26349.282802386504, 26278.85624388284, 26228.670492377627, 26181.592842265218, 26123.877966208172, 26050.340595762435]","[28493.24609375, 29104.074081960007, 29358.91174937002, 29562.03756450183, 29749.838384796032, 29895.23001600182, 30036.236667455796, 30179.73778306424, 30294.464612698892, 30418.06471651072, 30505.74417294891, 30624.385298929003, 30720.382021510777, 30840.514069636607, 30955.919995933553, 31040.33424624742, 31125.059014140385, 31194.428406883104, 31284.411361334347, 31345.471331530935, 31412.91956711268]"
2023-03-10 00:00:00+09:00,"[28686.912109375, 28694.382852673294, 28690.75637030571, 28703.51728683273, 28734.720615064216, 28742.61610766592, 28765.22420097773, 28783.779270477615, 28792.596236530782, 28808.449821463317, 28803.842180831845, 28810.692792570575, 28845.63010706088, 28864.036233085768, 28878.869357406467, 28896.82349726665, 28897.284620573217, 28905.97771382978, 28924.591027997278, 28936.192806883068, 28953.496675009967]","[28686.912109375, 28086.879697948778, 27833.420647820563, 27651.852461261427, 27511.7085420508, 27362.355632461433, 27266.685901084198, 27137.43488396553, 27042.58062382859, 26973.81490901963, 26919.681214468557, 26833.42639220796, 26728.537583451114, 26653.197607901788, 26585.329059609736, 26521.162669731926, 26488.29947659797, 26413.8185843048, 26381.88062546956, 26308.382348622446, 26285.474057041472]","[28686.912109375, 29301.88600739781, 29548.092092790856, 29755.182112404036, 29957.73268807763, 30122.876582870405, 30263.76250087126, 30430.1236569897, 30542.611849232973, 30643.084733907002, 30688.003147195133, 30787.95919293319, 30962.722630670643, 31074.874858269748, 31172.4096552032, 31272.484324801375, 31306.269764548462, 31398.136843354758, 31467.301430524996, 31564.00326514369, 31621.51929297846]"
2023-03-13 00:00:00+09:00,"[28188.21875, 28190.193354322906, 28204.932938958624, 28227.764086768217, 28259.253709956825, 28265.18446569663, 28268.186892492788, 28295.335680965843, 28297.019402866295, 28304.967872670604, 28316.04344075348, 28313.247765998916, 28320.709639364006, 28328.644908374532, 28320.83967457869, 28338.564613975814, 28345.710761762628, 28355.9634873048, 28385.675019400238, 28401.0178386588, 28412.240366869413]","[28188.21875, 27596.275328813495, 27346.585675840186, 27181.264591933952, 27066.45425214896, 26924.24464112255, 26790.693855234797, 26701.54004589651, 26574.707311582057, 26505.554598253544, 26420.880450468536, 26325.063333628852, 26238.14773730099, 26139.326900937067, 26047.181415598425, 25978.62585642278, 25912.06629525145, 25844.588090810183, 25761.944795456748, 25713.217908661576, 25664.52767140575]","[28188.21875, 28784.111379832317, 29063.28020207706, 29274.26358160248, 29452.05316776469, 29606.124290270713, 29745.67992975078, 29889.13131603518, 30019.331494150534, 30104.381147087664, 30211.206431038427, 30301.43219836898, 30403.27154142702, 30517.962915811997, 30594.497933558952, 30698.50337152885, 30779.355228273806, 30867.33888379942, 31009.40524334373, 31088.817768656027, 31159.953062333076]"
2023-03-14 00:00:00+09:00,"[27907.404296875, 27902.28101293125, 27902.938777969466, 27908.36610109959, 27902.158391379307, 27907.083087556166, 27906.53864981869, 27921.021072106683, 27923.55303231284, 27923.315407011363, 27933.806694873616, 27930.613217577687, 27931.999731335643, 27951.15475898166, 27976.18500224141, 27982.694889293776, 27998.5802780723, 28006.950841555194, 28019.3607824827, 28032.876415934257, 28028.076198757633]","[27907.404296875, 27329.076072448654, 27078.098271609677, 26930.357360028673, 26721.65004582881, 26595.34595885837, 26455.835154887365, 26378.187404011278, 26228.872777782748, 26141.13942838835, 26058.437558682584, 25942.80722043025, 25866.675899245532, 25790.963883105855, 25737.91322308484, 25682.97958312369, 25615.30032045222, 25568.51590246997, 25536.40543749595, 25468.224513385183, 25403.598402233285]","[27907.404296875, 28475.485953413845, 28727.779284329255, 28886.374842170506, 29082.666736929805, 29218.820216253964, 29357.242144750013, 29463.85474020209, 29618.233286842933, 29705.491385634377, 29809.175831064647, 29918.419214725123, 29997.323563425754, 30111.345634857462, 30214.45678139798, 30282.41019546386, 30381.860235692377, 30445.385780640416, 30502.316127469454, 30597.52831848333, 30652.55399528198]"
2023-03-15 00:00:00+09:00,"[27287.669921875, 27293.268801034174, 27283.000461367912, 27286.987518471957, 27290.775584113962, 27305.860363361327, 27302.573896105707, 27316.275137488792, 27315.35469968324, 27321.72481346436, 27316.022331872988, 27310.82863690656, 27313.837328347992, 27313.665431119374, 27306.38323368853, 27307.033339223563, 27303.96781604531, 27304.260028181852, 27299.3903096913, 27310.23991089366, 27305.400799665593]","[27287.669921875, 26704.066004350345, 26470.97343271848, 26307.006649199648, 26152.001490500093, 26036.027193453338, 25916.062593937513, 25821.75706191195, 25714.916352540346, 25576.458617788234, 25454.368646938405, 25380.48722771482, 25303.559559771362, 25214.30796381807, 25138.38967033616, 25045.537460058717, 24972.56209620079, 24929.840332104028, 24836.516594289045, 24772.600730888636, 24698.47411122188]","[27287.669921875, 27882.471597718002, 28095.027490017343, 28266.968387744266, 28429.54967772783, 28575.693533269317, 28689.0851982739, 28810.793213065634, 28915.793046826137, 29066.991009140485, 29177.67601680757, 29241.1700460983, 29324.115096924623, 29413.022898420677, 29474.376797040903, 29568.52921838841, 29635.373535889834, 29678.679724259677, 29762.26402509356, 29847.87909089868, 29912.327488109306]"
2023-03-16 00:00:00+09:00,"[27307.03515625, 27315.143283878726, 27316.84343062293, 27322.911775488818, 27316.682895635924, 27300.8413571412, 27298.244201990896, 27301.018426418552, 27306.594008628523, 27303.285569305055, 27300.002441577024, 27304.8655062131, 27296.914101588365, 27293.8822272235, 27298.079508941053, 27282.522216131256, 27279.103128980478, 27268.58303882816, 27258.31315843106, 27262.70618813733, 27267.760263632612]","[27307.03515625, 26735.69088058657, 26510.20559609697, 26328.262756835447, 26151.154008643858, 25986.54134735525, 25888.654117281676, 25771.771480894982, 25685.438105711004, 25589.4176066387, 25472.557251598788, 25392.182747652227, 25292.37981780494, 25215.20839542969, 25126.2822404483, 25017.59859348874, 24935.12330724048, 24849.886753341914, 24764.034772293217, 24686.27632541875, 24603.072182741886]","[27307.03515625, 27894.59568717088, 28123.481265148886, 28317.560794142188, 28482.21178262799, 28615.141366927146, 28707.834286700116, 28830.26537194212, 28927.74991154604, 29017.15353197141, 29127.44763155526, 29217.548264773974, 29301.44838537179, 29372.55605901731, 29469.876777433805, 29547.445838773772, 29623.082950720476, 29687.279324314408, 29752.591544568906, 29839.136050855912, 29932.448344523338]"
2023-03-17 00:00:00+09:00,"[27074.63671875, 27065.99519809472, 27051.105066040112, 27044.63356195399, 27031.098165669187, 27028.572119241482, 27012.274971058003, 27002.583632610487, 27007.90677029244, 27025.439219429078, 27011.292340387678, 26995.297359443113, 26985.6405165782, 26985.664616674225, 26979.57138047584, 26967.623846854058, 26956.518868862346, 26959.477920244917, 26969.362717555203, 26963.518581260993, 26952.555232881823]","[27074.63671875, 26518.744861794417, 26307.938599120538, 26070.95713133782, 25915.400937963987, 25744.46763048194, 25633.36061655402, 25538.218888542582, 25435.70025865105, 25337.616660576383, 25237.32952810951, 25135.745601532093, 25057.17661195203, 24973.313126946065, 24897.274066917, 24778.838082174636, 24692.070554879014, 24625.420705067823, 24548.833116536283, 24495.861957528105, 24441.712824956296]","[27074.63671875, 27613.24553439502, 27794.271532959687, 28018.30999257016, 28146.79539337439, 28312.676608001024, 28391.189325561987, 28466.948376678392, 28580.11328193383, 28713.261778281772, 28785.255152665846, 28854.849117354133, 28914.104421204374, 28998.016106402385, 29061.86869403468, 29156.40961153348, 29220.967182845678, 29293.53513542201, 29389.892318574122, 29431.17520499388, 29463.39764080735]"
2023-03-20 00:00:00+09:00,"[27384.501953125, 27393.426328448226, 27403.328938228355, 27414.498990155967, 27407.4741859874, 27416.41369076125, 27427.249076129756, 27428.951513635355, 27428.743798284333, 27423.510640441753, 27419.136882136037, 27418.00138422669, 27425.629254172083, 27424.561154218016, 27420.956521728323, 27423.87883431003, 27411.432514775548, 27408.81688229378, 27401.746211430058, 27397.62015130923, 27395.897429326174]","[27384.501953125, 26838.194423920628, 26608.386872233066, 26423.578252274987, 26262.016402554014, 26146.836410280648, 26031.01838301406, 25903.00089604711, 25778.90757999803, 25660.83656386383, 25553.00861555276, 25451.536366955566, 25393.04411587678, 25287.69289640035, 25203.5737412104, 25127.66663684836, 25037.08118958922, 24957.74917954274, 24873.400299597437, 24828.836193537776, 24782.04073196979]","[27384.501953125, 27948.658232975824, 28198.271004223643, 28405.419728036948, 28552.931969420788, 28685.99097124185, 28823.479769245452, 28954.9021312236, 29078.580016570635, 29186.184717019674, 29285.265148719314, 29384.46640149781, 29458.214392467387, 29561.429412035683, 29638.339302246248, 29720.091031771703, 29785.783839961878, 29859.88458504482, 29930.09212326268, 29966.404109080686, 30009.754126682557]"
2023-03-22 00:00:00+09:00,"[27060.109375, 27053.13519588408, 27056.33297689741, 27072.588396585972, 27072.296081632114, 27061.694823678696, 27049.125964890114, 27050.495647039494, 27049.791232985743, 27038.754812483843, 27042.378732994148, 27051.86155289415, 27042.83984974441, 27045.591675018146, 27028.885652609755, 27037.825642808235, 27040.72502494909, 27054.033534087404, 27054.005734773367, 27050.19533528924, 27050.813146353998]","[27060.109375, 26464.5193151624, 26233.24471111966, 26065.766209514044, 25920.234171687807, 25776.132817972433, 25633.19820034667, 25501.65780464419, 25342.233069879097, 25255.0262996708, 25178.821492258434, 25123.75604749249, 25026.604647183034, 24950.759714704847, 24838.641824366743, 24768.927852925128, 24705.026944109697, 24657.01111661629, 24586.693190622816, 24477.79243305071, 24429.51357468186]","[27060.109375, 27641.751076605757, 27879.421242675162, 28079.4105836579, 28224.35799157642, 28347.256829384958, 28465.05372943356, 28599.333489434797, 28757.349396092388, 28822.483325296886, 28905.935973729862, 28979.967058295806, 29059.075052305787, 29140.423635331445, 29219.129480852767, 29306.723432691342, 29376.423105788483, 29451.05595155852, 29521.318278923918, 29622.598237527774, 29672.112718026136]"
