Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-03-07 00:00:00+08:00,"[19.720867156982422, 19.747000285628484, 19.734419592536433, 19.742560275274517, 19.73797055624355, 19.745521152204148, 19.755596214169387, 19.74135628902515, 19.752478596681147, 19.745067251032776, 19.734099539881083, 19.746435961471732, 19.763223541412703, 19.772286186218437, 19.789182703499712, 19.801923292187443, 19.81491553775632, 19.842277290922965, 19.846890221111867, 19.850420199712243, 19.84638307479087]","[19.720867156982422, 19.015269661656987, 18.674321891556655, 18.46944495481168, 18.2903404479332, 18.140209680559213, 17.98533546255965, 17.87149629585758, 17.75422770664414, 17.610522548327488, 17.491286688101802, 17.374056923392494, 17.26931368901308, 17.122305577518667, 17.05650523204667, 16.993799969990295, 16.90809937616988, 16.819390777037558, 16.727491998743655, 16.6487512675029, 16.543740441176567]","[19.720867156982422, 20.47873090959998, 20.79451729351621, 21.015675595737353, 21.1856006645539, 21.350832623849083, 21.525856965779123, 21.611216282192718, 21.750729486718154, 21.879611953738063, 21.976912391660363, 22.11881499955097, 22.257133393812325, 22.422266794918208, 22.521860174952753, 22.61004661438459, 22.72173169934276, 22.865163804808372, 22.966288443480078, 23.052089131921587, 23.149025708405176]"
2023-03-08 00:00:00+08:00,"[19.655353546142578, 19.649902635410317, 19.662926489222517, 19.676300374272643, 19.675376369179705, 19.69796626395647, 19.699639799658797, 19.723293542530342, 19.717195862569127, 19.72177676896625, 19.73013265987142, 19.72494872795305, 19.7389876752649, 19.71793623402029, 19.698899805148677, 19.707665818244923, 19.697669155627697, 19.73006572157454, 19.76128651003487, 19.75922427169841, 19.762168824455273]","[19.655353546142578, 18.909137547971312, 18.60039865715851, 18.4146200327404, 18.207892895693345, 18.07669611890975, 17.890776404674767, 17.76015263189494, 17.609612544954892, 17.48314183998634, 17.370279858852417, 17.254661500384046, 17.145028728682362, 17.02097249172553, 16.947681094051273, 16.879339979601756, 16.758536900723136, 16.6977452328557, 16.578439598617486, 16.475721777952398, 16.394530040149252]","[19.655353546142578, 20.390667722849322, 20.725454321286524, 20.937980715804883, 21.142859842666066, 21.31923640900319, 21.508503194642827, 21.686434453165745, 21.824779180183363, 21.96041169794616, 22.08998546089042, 22.19523595552205, 22.33294662184744, 22.41489997631505, 22.450118516246082, 22.53599165688809, 22.636801410532257, 22.762386210293382, 22.944133421452257, 23.042726765444424, 23.129807608761293]"
2023-03-09 00:00:00+08:00,"[19.20380401611328, 19.193050981311053, 19.193395930048087, 19.197759090311145, 19.188495058705975, 19.175507773649805, 19.15510171510742, 19.159009576345166, 19.171043675842768, 19.166835190620592, 19.162240775780813, 19.165184332378544, 19.16747570476162, 19.1745757665114, 19.161787300338222, 19.15657972669949, 19.164941442154202, 19.177434624020606, 19.179121670761443, 19.19298149601817, 19.18564749883209]","[19.20380401611328, 18.474308921627543, 18.202642447190748, 17.965122013502032, 17.751985120516874, 17.59854039244835, 17.468941155586958, 17.312295338083317, 17.1614593963556, 17.029382539620094, 16.8840418446263, 16.81092946571662, 16.690899044108995, 16.639321182097635, 16.53687155585892, 16.45934491698967, 16.38945043637685, 16.2748565175052, 16.16643099603477, 16.072021109829034, 16.029962035732197]","[19.20380401611328, 19.911793040994564, 20.184149412905427, 20.430396167120257, 20.625004996895075, 20.75247515485126, 20.841262274627883, 21.005723814607016, 21.180627955329935, 21.30428784162109, 21.440439706935326, 21.51943919904047, 21.644052365414247, 21.709830350925163, 21.786703044817525, 21.85381453640931, 21.940432447931553, 22.080012730536012, 22.191812345488117, 22.313941882207306, 22.341332961931982]"
2023-03-10 00:00:00+08:00,"[19.0838680267334, 19.086983385323407, 19.085317519551598, 19.077685714839856, 19.07709128234283, 19.08197623930932, 19.08697897856922, 19.09019349744815, 19.07446234217911, 19.06884964709077, 19.07417802641406, 19.08126199194714, 19.06978066189294, 19.079495768881195, 19.08288527082867, 19.069781903242536, 19.077020509155403, 19.07423294055048, 19.06980865067093, 19.057581066086026, 19.05402746405363]","[19.0838680267334, 18.42316409333585, 18.131118916274776, 17.865036758899056, 17.656815220577638, 17.50084813524083, 17.349797363318427, 17.183610450938623, 17.043030574603677, 16.882270185688665, 16.752151756489077, 16.669356917933943, 16.577207830839438, 16.450264021978228, 16.394344632860435, 16.29130476028635, 16.215157810849927, 16.152159770900838, 16.068993284337083, 15.998820131757066, 15.955870626173732]","[19.0838680267334, 19.750802677310965, 20.03951612282842, 20.290334670780656, 20.497367344108024, 20.66310434337781, 20.824160593820014, 20.99677654395768, 21.105894109754544, 21.255429108492873, 21.396204296339043, 21.49316706596034, 21.56235349294644, 21.70872751578416, 21.771425908796903, 21.84825904619872, 21.93888320746088, 21.996306110200123, 22.070624017004775, 22.11634200041499, 22.152184301933524]"
2023-03-13 00:00:00+08:00,"[18.509658813476562, 18.497722095916995, 18.482287726021724, 18.463603617715346, 18.44381083065954, 18.453989992220095, 18.4375102998821, 18.428878640668554, 18.426169506308586, 18.41374243339985, 18.402373988565444, 18.412794992010344, 18.40782040941793, 18.411378227899622, 18.439413282249973, 18.427489833078166, 18.434890067692024, 18.430803514784834, 18.414032558253183, 18.417413201753945, 18.39430591785334]","[18.509658813476562, 17.804592572629335, 17.505849343975083, 17.25798282224927, 17.105878348124055, 16.96976374434477, 16.812521638915715, 16.703591404758765, 16.599205948930344, 16.47692387878631, 16.334695362886933, 16.190020547128114, 16.06406869983084, 15.963998215265978, 15.866897945118978, 15.771430326521834, 15.694258526038361, 15.612224844061064, 15.502574712817388, 15.456432291347806, 15.34072873219002]","[18.509658813476562, 19.190851619204654, 19.458726108068365, 19.66922441318142, 19.781743313195026, 19.938216240095418, 20.062498960848483, 20.154165876578343, 20.25313306368683, 20.35056098801339, 20.470052614243954, 20.635569436892574, 20.75157211900502, 20.858758240533266, 21.011928619380967, 21.083549339634498, 21.175521609345687, 21.249382185508605, 21.325490403688978, 21.378394112160084, 21.447883103516663]"
2023-03-14 00:00:00+08:00,"[18.86664390563965, 18.866841349337236, 18.856048769023158, 18.848951379153036, 18.855487836844034, 18.845998957013872, 18.86868271236315, 18.871892529501988, 18.85804527612788, 18.864110333536992, 18.87406010949709, 18.876916486084323, 18.848451759229576, 18.856918490391593, 18.868938310644076, 18.861211279366092, 18.864772053554386, 18.861251631137247, 18.866897150379756, 18.867629116071758, 18.84620536194292]","[18.86664390563965, 18.148941276332597, 17.847466427484893, 17.605244865802483, 17.431088653250846, 17.249727561548976, 17.156010646473845, 17.036412302685953, 16.85394367874998, 16.72454574562692, 16.625481179442556, 16.525743928418517, 16.39666317421601, 16.261459816295986, 16.17695221867831, 16.055400664438352, 15.966070496337686, 15.868119164211068, 15.769434249579238, 15.721245430910319, 15.622876717404452]","[18.86664390563965, 19.584741422341875, 19.864631110561422, 20.09265789250359, 20.279887020437222, 20.44227035247877, 20.581354778252454, 20.707372756318023, 20.862146873505775, 21.003674921447065, 21.122639039551625, 21.228089043750128, 21.300240344243143, 21.4523771644872, 21.560924402609842, 21.667021894293832, 21.763473610771086, 21.854384098063427, 21.964360051180275, 22.014012801233196, 22.06953400648139]"
2023-03-15 00:00:00+08:00,"[18.43916130065918, 18.44679730826783, 18.42456654432762, 18.419936508186417, 18.39975621236799, 18.40683432024374, 18.39481356144299, 18.38831916362661, 18.368116682229907, 18.338668982870555, 18.344270141226183, 18.345106011389003, 18.335746309118644, 18.31795761792323, 18.285525622728766, 18.276663735414825, 18.278661806599782, 18.274386341012836, 18.277257208890273, 18.275693795117725, 18.266935457516023]","[18.43916130065918, 17.763778657859664, 17.444433793837508, 17.249427873178227, 17.080987337844398, 16.907794719511497, 16.72465509652852, 16.6266674293648, 16.455102294648956, 16.303628590282475, 16.214985317832515, 16.07934969329307, 15.948188458789023, 15.82612248869197, 15.698912137313553, 15.638910678239174, 15.540976404225114, 15.447218534272654, 15.38327803380644, 15.276533513841397, 15.190954184990964]","[18.43916130065918, 19.129815958675994, 19.404699294817735, 19.590445143194607, 19.71852508689158, 19.90587392097598, 20.064972026357463, 20.149970897888416, 20.281131069810858, 20.373709375458635, 20.47355496461985, 20.610862329484934, 20.723304159448265, 20.80979274715449, 20.87213910814398, 20.914416792590476, 21.01634720897445, 21.101554147753017, 21.171236383974104, 21.274854076394053, 21.342916730041082]"
2023-03-16 00:00:00+08:00,"[18.718982696533203, 18.725576425960316, 18.7180030597368, 18.723193262467124, 18.723118007678227, 18.740338220806297, 18.732383122893406, 18.739086407609772, 18.73009189437831, 18.729701546467236, 18.727365798404207, 18.711037915882784, 18.725277823129197, 18.735204932923846, 18.74819395939639, 18.730265567840892, 18.74435914192249, 18.749984917784307, 18.716267970318878, 18.714819692713696, 18.719889275046135]","[18.718982696533203, 18.01683812456823, 17.70927785062428, 17.489667712904, 17.27228919768997, 17.08412454950152, 16.93457158876646, 16.84436371260159, 16.682215491553773, 16.55973355774783, 16.43039689251579, 16.254281247217957, 16.14380740442909, 16.0200563212377, 15.954557458388427, 15.847689371885911, 15.829487445753108, 15.722699199824639, 15.635431142218241, 15.526252900830206, 15.45913789763695]","[18.718982696533203, 19.4343147273524, 19.726728268849325, 19.956718812030246, 20.173946817666483, 20.396551892111074, 20.530194657020353, 20.633809102617953, 20.77796829720285, 20.899669535186643, 21.024334704292624, 21.16779458454761, 21.306748241829304, 21.450353544609992, 21.541830460404352, 21.612841763795874, 21.659230838091872, 21.777270635743974, 21.797104798419515, 21.903386484597185, 21.98064065245532]"
2023-03-17 00:00:00+08:00,"[18.398366928100586, 18.41643125893348, 18.397080327047167, 18.414255307570027, 18.413156929240763, 18.409618002716265, 18.384636148193007, 18.368774023359634, 18.369189790843535, 18.365670147855724, 18.357552376446183, 18.34726939800004, 18.340956869752176, 18.34278258638022, 18.338919091394942, 18.330293990251022, 18.326244684399253, 18.310713563753655, 18.31457825458444, 18.332630623345256, 18.319740354926008]","[18.398366928100586, 17.74002926527459, 17.423191271849245, 17.243795487959495, 17.053530348939827, 16.87812040611348, 16.679294896725146, 16.500040031220312, 16.35327003754339, 16.232283095672134, 16.09809073134131, 16.00076871539064, 15.901297294174881, 15.784216044388355, 15.729430529598147, 15.63543536291078, 15.52988485669695, 15.422896101097084, 15.344243586708997, 15.282375360308556, 15.166231115440347]","[18.398366928100586, 19.092833252592367, 19.37096938224509, 19.58471512718056, 19.7727835095417, 19.941115599319048, 20.089977399660867, 20.237508015498957, 20.38510954414368, 20.499057200039314, 20.617014021551057, 20.69377008060944, 20.78061644532947, 20.901349128372086, 20.948407653191737, 21.025152617591264, 21.122604512101553, 21.198531026410226, 21.28491292245988, 21.382885886381956, 21.47324959441167]"
2023-03-20 00:00:00+08:00,"[18.698490142822266, 18.70781748949863, 18.696253332997138, 18.69169036088993, 18.65564610499238, 18.634161471526234, 18.6308697459791, 18.649186744639586, 18.653631624782808, 18.66265736038549, 18.67710362814551, 18.661351534014607, 18.653286455194813, 18.64846133567468, 18.645065730693563, 18.644497869202645, 18.623448674056636, 18.63169671703204, 18.636765262816343, 18.6357440103446, 18.624675949031122]","[18.698490142822266, 18.014424317938705, 17.699230903123656, 17.472226871951328, 17.258176099186205, 17.089160566515698, 16.90160859513048, 16.76903977981134, 16.657597913097806, 16.53750655338438, 16.46200485004271, 16.380247840348652, 16.288295949481487, 16.13208147701356, 16.019141864069322, 15.938750729486642, 15.863090289541324, 15.793866099326161, 15.705744947188613, 15.62074165919231, 15.551245646366567]","[18.698490142822266, 19.401210661058556, 19.69327576287062, 19.91115384982853, 20.053116110798552, 20.17916237653677, 20.360130896827723, 20.52933370946783, 20.64966533646781, 20.787808167386604, 20.89220240624831, 20.94245522768056, 21.01827696090814, 21.164841194335796, 21.270989597317804, 21.350245008918648, 21.383807058571946, 21.469527334737915, 21.567785578444074, 21.650746361496886, 21.698106251695677]"
