Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-17 00:00:00+01:00,"[115.36000061035156, 115.5155264095421, 115.61816397449194, 115.71170563341313, 115.79111811116067, 115.85430810284076, 115.93909110542188, 116.0152291619462, 116.1693093837373, 116.26034506242766, 116.38794294165176, 116.58160790821279, 116.75512134582908, 116.82814281013114, 116.98029793430847, 117.15704418775081, 117.26256062805327, 117.42164146262759, 117.5973563657704, 117.71582860379073, 117.91955433502191]","[115.36000061035156, 112.94949466416242, 111.99018048351616, 111.34071920867791, 110.80533700860668, 110.26462021592735, 109.85686021459954, 109.33666499855478, 108.98783268969561, 108.723660047065, 108.41255221544465, 108.16111716804829, 107.90603771752534, 107.75005882915664, 107.53347236467525, 107.37714773030397, 107.10169646211905, 106.86407832129386, 106.77073563951906, 106.5728675271622, 106.41001131648376]","[115.36000061035156, 118.0815581549218, 119.24614746546771, 120.08269205814835, 120.77689921371466, 121.44399598975417, 122.02132199624423, 122.69379332533761, 123.35078607777899, 123.79703007779032, 124.36333366785887, 125.00209864837728, 125.60420497413283, 125.90622679110564, 126.42712350394169, 126.93694064519765, 127.42342479398748, 127.97920460396132, 128.42397709202172, 128.85878968041925, 129.42909735356008]"
2023-02-20 00:00:00+01:00,"[115.19999694824219, 115.39458938952419, 115.48108907524141, 115.68364568452657, 115.80290047313358, 115.94209205486891, 115.9608404743439, 116.13032140078671, 116.23000559980679, 116.39775903267791, 116.45776864190746, 116.64608770153083, 116.86058991396445, 116.99321788927877, 117.16227556010685, 117.31030584487779, 117.44215596384399, 117.5232312172233, 117.72058135690071, 117.88522583129463, 118.0708743739517]","[115.19999694824219, 112.92844389942177, 111.92892077303824, 111.43145896417879, 110.85619162575718, 110.36585635299338, 109.9292895617716, 109.55267978852655, 109.2595535079455, 108.91112398242306, 108.49369164658083, 108.31139894118662, 108.1254160457755, 107.90677622759229, 107.61170243575768, 107.3869159435258, 107.24475656406955, 107.01406002547787, 106.95035365428747, 106.69887361046206, 106.50017175975483]","[115.19999694824219, 117.8607348796266, 119.03325737744458, 119.93583240487435, 120.74960932050998, 121.51832775674444, 121.9923913869162, 122.70796301304688, 123.20045769166808, 123.88439408293276, 124.4218456372341, 124.98077646187504, 125.5957637821534, 126.07965955096525, 126.71284868445602, 127.23369574622977, 127.63955536361843, 128.03240240896872, 128.49080905951394, 129.0715780521272, 129.64157698814856]"
2023-02-21 00:00:00+01:00,"[114.94000244140625, 115.03911334362431, 115.1884579728526, 115.28798010502415, 115.40061656926581, 115.52291704083211, 115.64143736384044, 115.75330723933975, 115.84924577403426, 115.96649686473523, 116.07967009330238, 116.20104160481252, 116.35015384844343, 116.46988239638291, 116.6347125927783, 116.73974013582286, 116.85944406440842, 116.91986453638302, 117.0861967620533, 117.19243548063116, 117.33830096498644]","[114.94000244140625, 112.53549981336111, 111.59557687229834, 110.96705951356361, 110.52231555800125, 110.17863106570783, 109.75459662899476, 109.43224957628112, 109.07991355693932, 108.8397158032559, 108.58740885993603, 108.4376914679855, 108.16525570342961, 107.99608311534277, 107.8869433363276, 107.5728544630948, 107.29372010240536, 107.09507689123501, 107.00699381893885, 106.8089124827329, 106.56028245132512]","[114.94000244140625, 117.5427268738875, 118.78133907340687, 119.60890069648468, 120.27891758053036, 120.86720301595639, 121.52827809868612, 122.07436490239837, 122.6185779911292, 123.09327792621457, 123.57193132666873, 123.96439174163953, 124.53505199345724, 124.94368167742306, 125.382481849229, 125.90662580855091, 126.42516802641148, 126.74465218153102, 127.16539970516776, 127.57595847852943, 128.11631947864777]"
2023-02-22 00:00:00+01:00,"[114.55999755859375, 114.71979045886668, 114.84498711237471, 115.00724411010026, 115.13151987928492, 115.222062751962, 115.39227586203617, 115.49131169269559, 115.64646263701987, 115.77198409851351, 115.93345362284165, 116.12581178181696, 116.246950999259, 116.30163004522892, 116.44915277938966, 116.64197836364787, 116.81904612065793, 116.95142185490177, 117.06017085697283, 117.26636241243216, 117.3819644473444]","[114.55999755859375, 112.2095795981241, 111.31240142493262, 110.67542362953999, 110.0941951627479, 109.54049437879425, 109.18882839902804, 108.92543000031112, 108.52997285018057, 108.26725246111975, 108.05473525279336, 107.68067893403283, 107.50524300594553, 107.28715781064494, 106.98171716024255, 106.77909742483858, 106.52120574228978, 106.4246541772452, 106.14364746272089, 106.07285516582473, 105.75077397472701]","[114.55999755859375, 117.23000131960927, 118.3775727998168, 119.33906459066053, 120.16884459582195, 120.90363112512975, 121.5957233250443, 122.05719338508005, 122.76295242385916, 123.27671573590727, 123.81217199288994, 124.5709446296011, 124.98865899257247, 125.3161022798129, 125.91658839853677, 126.50485930245715, 127.11688649902608, 127.47818953255833, 127.97669425122477, 128.45986965903958, 129.0131549199618]"
2023-02-23 00:00:00+01:00,"[114.31999969482422, 114.44318862386723, 114.5363660470632, 114.63559085708461, 114.74806999083269, 114.88047946014345, 114.93213761818467, 115.02324630159998, 115.13094016803898, 115.37047215935424, 115.44414760632988, 115.55737624265703, 115.71540834467503, 115.87311019406869, 116.0908857964453, 116.2421931938995, 116.4024715039217, 116.5408815367537, 116.63862164100655, 116.76208266989305, 116.91457455676493]","[114.31999969482422, 112.00091341611164, 111.11333183564759, 110.49137816639595, 109.98887977741005, 109.57154682950164, 109.01752488755788, 108.64441987655951, 108.38793801941225, 108.17821784598792, 107.84156980397253, 107.55684170807464, 107.29475333047981, 107.15954269679071, 106.87366038202258, 106.88749731337073, 106.85342693449103, 106.63319912970849, 106.32756511676659, 106.03912397082397, 106.0310056737015]","[114.31999969482422, 116.88546383162281, 117.95940025847881, 118.77980354777327, 119.50726020425533, 120.18941209078525, 120.84675034881145, 121.40207272664045, 121.8739423166657, 122.56272647272056, 123.04672540868722, 123.55791077723941, 124.13606335887025, 124.58667769134667, 125.30811121086803, 125.59688907442826, 125.95151607335238, 126.44856394379892, 126.94967816524651, 127.48504136896213, 127.79814343982837]"
2023-02-24 00:00:00+01:00,"[114.76000213623047, 114.81561837516186, 114.95926305283355, 115.09680395284481, 115.16908019895294, 115.26607679488014, 115.38117222947122, 115.44712020635329, 115.54230719214343, 115.68534636661809, 115.82337141179727, 115.91838870968739, 116.07257083962824, 116.1849735747448, 116.34365780801137, 116.44571193855194, 116.58600880634816, 116.63791634432046, 116.75642016982177, 116.95172416574569, 117.13179650650625]","[114.76000213623047, 112.3949133256699, 111.45725738773297, 110.80733894007108, 110.21326157310612, 109.67181833223594, 109.24515350925351, 108.95612312134168, 108.5599153815448, 108.2202639612287, 107.84183458995805, 107.66256214824571, 107.58524644618909, 107.33062059147443, 107.09623110167144, 106.7773984810119, 106.51695623801926, 106.16168783243894, 106.09551878815815, 106.02177695546825, 105.9692552662712]","[114.76000213623047, 117.23632342465382, 118.46126871793413, 119.38626896561854, 120.12489882479976, 120.86033525752433, 121.51719094968892, 121.9381172913649, 122.52469900274205, 123.15042877200749, 123.80490823363648, 124.17421527112907, 124.5598952330674, 125.03932655801518, 125.59108451435131, 126.11402539609198, 126.65506137467706, 127.11414485620197, 127.41732155148539, 127.88167137602312, 128.2943377467413]"
2023-02-27 00:00:00+01:00,"[112.81999969482422, 112.95359067730112, 112.99286788234406, 113.07095305950763, 113.16297077481978, 113.32622923378499, 113.4705275059789, 113.61050479664706, 113.71467633390752, 113.83691518220098, 113.89062972136321, 114.04888480360795, 114.15358423259272, 114.2867599153711, 114.3602808299089, 114.5298398929257, 114.63789033708963, 114.79919075134194, 114.86746042191665, 114.97986519661738, 115.04372097694782]","[112.81999969482422, 110.63514226409453, 109.65067025618568, 108.81046573358276, 108.26011149402464, 107.8196589847983, 107.44852627512105, 107.24638416492702, 106.79113633297787, 106.53002988717316, 106.24697021522577, 105.97907933073198, 105.70551815095699, 105.49503607795491, 105.14731955230788, 104.93108090984296, 104.83210282367745, 104.78115544376935, 104.53582599935453, 104.38329649272676, 104.10379986526915]","[112.81999969482422, 115.27203909050772, 116.33506550850244, 117.3314403854325, 118.06583005561492, 118.83279948277168, 119.49252873683673, 119.9746254283671, 120.63821633483717, 121.14380047722881, 121.53428922750065, 122.11869027648392, 122.60165031422845, 123.0784837527873, 123.57324210750993, 124.12859887600843, 124.44367785050181, 124.81722605891453, 125.19909484447876, 125.57643390050801, 125.9836420886265]"
2023-02-28 00:00:00+01:00,"[114.54000091552734, 114.63854686423086, 114.7723881008089, 114.91895755766774, 115.13548413353266, 115.2765645777577, 115.42603523796362, 115.50234930889765, 115.68407806193257, 115.77719995937794, 115.87355057503065, 115.99241683561188, 116.14880329006269, 116.27812471215258, 116.40451862999873, 116.47075287435567, 116.61182801359688, 116.64604279234253, 116.78102888979699, 116.86582743592237, 116.93431624129008]","[114.54000091552734, 112.12083427277706, 111.23409448080494, 110.55501891765833, 110.1422089926738, 109.70365113256535, 109.42925575207693, 108.96046635331786, 108.69893757193186, 108.31837693639035, 108.10454176899428, 107.74625357235219, 107.62327447547007, 107.44399122127886, 107.38048463369456, 107.06653584017795, 106.92315734559139, 106.53878621064995, 106.40127919466508, 106.0825323798566, 106.02515187480995]","[114.54000091552734, 117.15625945568466, 118.31068172081285, 119.28289619767715, 120.12875927439151, 120.84947802295004, 121.42281472385031, 122.04423226447744, 122.66921855193327, 123.23602298236553, 123.64255938106702, 124.23858009887157, 124.6743321046553, 125.11225820302629, 125.4285526263029, 125.87496990853339, 126.30049868160236, 126.75329937403511, 127.16077858492889, 127.64912249198814, 127.8434806077702]"
2023-03-01 00:00:00+01:00,"[114.22000122070312, 114.31484170053014, 114.49898755278086, 114.59997202285756, 114.72529904172121, 114.83240687192657, 115.00468875674495, 115.13864680794944, 115.23993520315658, 115.34352799707278, 115.45971998836254, 115.52366744349973, 115.62977925690839, 115.74288311130228, 115.83669571970513, 116.0285145398277, 116.13168143034976, 116.24503826751302, 116.38189349724883, 116.48698731116741, 116.64624280911052]","[114.22000122070312, 111.87364745208164, 111.06182181669772, 110.28811725665837, 109.69638967973256, 109.14232322161354, 108.74413479037266, 108.31055420778924, 108.02841308006762, 107.66701180994777, 107.43355580780585, 107.1622321626312, 106.8460317076425, 106.52282901949677, 106.32648563099606, 106.03077887124752, 105.82746626302418, 105.75687835179858, 105.61953734696156, 105.42340824179199, 105.2813025625128]","[114.22000122070312, 116.75603594897864, 117.936153288864, 118.91182678905675, 119.75420840370987, 120.5224905222396, 121.26524272311725, 121.96673940810965, 122.45145732624553, 123.0200441841978, 123.48588416891923, 123.88510272436827, 124.41352680617429, 124.96293720310778, 125.3469058084142, 126.02625020840787, 126.43589659767534, 126.73319818322747, 127.14424964753609, 127.55056638054283, 128.01118305570822]"
2023-03-02 00:00:00+01:00,"[113.68000030517578, 113.78968894608892, 113.86004888726026, 113.93559124630507, 114.10407878756274, 114.30023131693653, 114.48445930595912, 114.58732987570937, 114.68654741541879, 114.78085295746256, 114.91243209365496, 115.04781060394305, 115.18755622952354, 115.32426942425872, 115.44962738023848, 115.59428644559603, 115.6753140007688, 115.83661279055991, 115.99470922774036, 116.12055368836113, 116.20612251077428]","[113.68000030517578, 111.38364059183161, 110.44064027989204, 109.79626803272939, 109.27605451572737, 108.72901220200542, 108.27810357316886, 107.8667874083133, 107.57585261415043, 107.30293181242831, 107.00962280966381, 106.80753460713088, 106.68417399153611, 106.54693807593895, 106.38822276105124, 106.22037212883049, 106.05637183409802, 105.87643964800996, 105.62509119685222, 105.37430862933759, 105.1634555071218]","[113.68000030517578, 116.19573730034622, 117.27945749462849, 118.07491445988074, 118.93210305939812, 119.87145043186764, 120.69081503874938, 121.30787234310544, 121.79724221668714, 122.2587741024968, 122.8152413776461, 123.28808660075522, 123.69093846751096, 124.10160077257848, 124.51103199942573, 124.96820076236156, 125.29425616743957, 125.79678593310986, 126.36432725862849, 126.86679874738466, 127.24878951442676]"
