Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-17 00:00:00+01:00,"[130.6999969482422, 130.83333597096222, 131.04533663006816, 131.19268722880318, 131.34407146752804, 131.4480498211947, 131.57504051343926, 131.67733527927786, 131.82231590471915, 131.946979386681, 132.10250831194574, 132.26551278321008, 132.40772729817232, 132.53016268690732, 132.6660087766489, 132.85923919632066, 132.94691821116243, 133.04035270405336, 133.14957656461343, 133.2486586979163, 133.44828905257015]","[130.6999969482422, 127.7608922249425, 126.70534685044832, 125.80001859509346, 125.07448933406405, 124.53691128308498, 124.04479258192802, 123.52247623265448, 123.15837214846015, 122.82882402010362, 122.26367147332591, 122.01285272864995, 121.73695600202865, 121.33585960808882, 121.31347375294183, 121.21957618291813, 120.80109680336199, 120.44811259261037, 120.33874478202685, 120.0735080780943, 119.84545151389331]","[130.6999969482422, 133.90577971698195, 135.38532640968802, 136.5853558625129, 137.61365360099202, 138.35918835930443, 139.1052884449505, 139.83219432590124, 140.48625966097813, 141.06513475325835, 141.94134515056555, 142.51817283777024, 143.078498594316, 143.72446576572582, 144.01854380035599, 144.49890220972318, 145.09273961896287, 145.63259281549637, 145.9604083472, 146.42380931773832, 147.05112659124697]"
2023-02-20 00:00:00+01:00,"[130.36000061035156, 130.49163909084743, 130.64086517782968, 130.74749061384796, 130.81423520124088, 130.9372168231276, 131.04279537483436, 131.17421770312595, 131.37776915569617, 131.43505585404094, 131.59626451893163, 131.73935109094805, 131.84109994241282, 131.94842245114572, 132.11726468391635, 132.22587004200253, 132.2798118541484, 132.46557205820844, 132.5499000240447, 132.59911924704397, 132.66209627951667]","[130.36000061035156, 127.59944017163565, 126.56998991355151, 125.52814164228614, 124.95387871633227, 124.31519149961402, 123.76580948755846, 123.31778620738605, 123.00538901440862, 122.65213038242639, 122.37319223721428, 121.9020346455227, 121.6016954473314, 121.23701456918181, 121.13146806604925, 121.02870973084795, 120.76011969904226, 120.62025423183002, 120.51126692118488, 120.10197293836202, 119.7758804087531]","[130.36000061035156, 133.3838380100592, 134.71174044210784, 135.9668395854098, 136.67459168614948, 137.5592421466412, 138.31978126211027, 139.03064919886583, 139.75014929698372, 140.21798132565547, 140.81933680064898, 141.57666753637338, 142.08050443749426, 142.65983033310962, 143.10306130178344, 143.42303035315712, 143.79950400925452, 144.31088988458686, 144.5885331269045, 145.09626555572592, 145.54831215028025]"
2023-02-21 00:00:00+01:00,"[130.3000030517578, 130.37114728825858, 130.47152744675253, 130.61804409201594, 130.81783345338886, 130.9131734292236, 131.06885709560424, 131.22290721628553, 131.32768125649824, 131.40414489304345, 131.55358154108976, 131.67034619255378, 131.71564245160408, 131.8228355570331, 131.94431210022046, 132.03305761753248, 132.13665052689174, 132.2254163572625, 132.28106201911461, 132.43428385630415, 132.55473462987155]","[130.3000030517578, 127.61302397569193, 126.37720732787619, 125.67242239880511, 124.89856047129773, 124.3298360095863, 123.85878347885016, 123.35033283884228, 122.8411067661993, 122.27189042621454, 121.95560405013327, 121.75063388147454, 121.37616199574289, 120.99422336236705, 120.81641486801315, 120.59575246133775, 120.41740093978835, 120.02362614913486, 119.58536185529024, 119.40083980485963, 119.28653415702175]","[130.3000030517578, 133.12927060082524, 134.56584756562887, 135.56366578522676, 136.73710643548, 137.4965108488609, 138.27893071235835, 139.09548159372878, 139.8142557467972, 140.53639935987235, 141.15155903204624, 141.59005850363303, 142.05512290746526, 142.65144775169915, 143.07220933242775, 143.4703627737272, 143.85590011399512, 144.42720656539015, 144.97676218293898, 145.46772790774867, 145.82293510272135]"
2023-02-22 00:00:00+01:00,"[129.67999267578125, 129.83970419389655, 130.05522023045717, 130.1110828279811, 130.2856589454634, 130.35225221988821, 130.44858890731086, 130.4968182107095, 130.64252645086347, 130.7301047220516, 130.73411401611077, 130.9018243004149, 130.9731398389609, 131.1324974296912, 131.22933910415543, 131.36290693955172, 131.4572134631186, 131.49718527723883, 131.64069156342785, 131.6710376084329, 131.68611962333858]","[129.67999267578125, 126.99325186726416, 125.94972419392741, 124.89285618435727, 124.20148028731121, 123.6532391203599, 123.14372003274659, 122.63472545651261, 122.21458114533966, 121.77699866765765, 121.28469043612228, 121.05423813536719, 120.58264209763001, 120.30985779264569, 120.08112758233317, 119.88477066038914, 119.45025640899847, 119.1343677800462, 118.93815765157032, 118.60648664741127, 118.28302141972803]","[129.67999267578125, 132.68615652052895, 134.16071626698692, 135.32930947160494, 136.3698376036156, 137.05126531941653, 137.75345778187514, 138.35891096490639, 139.0704717563873, 139.68321077644555, 140.18353759609926, 140.74941046546257, 141.36363758029177, 141.9551370667367, 142.3775506259777, 142.8410432187143, 143.4641705172387, 143.86000277443145, 144.34322547528538, 144.7355885694545, 145.08921782694915]"
2023-02-23 00:00:00+01:00,"[129.66000366210938, 129.7740409339372, 129.87749610290015, 129.9973905802245, 130.1642993363915, 130.27771487354968, 130.432252999263, 130.50939192746037, 130.59753501026483, 130.68654383939617, 130.88968423847783, 131.03581532648812, 131.2039043621352, 131.32418947816083, 131.416790661317, 131.5902801317752, 131.7401952852665, 131.89944088133046, 132.03022663089786, 132.08867880431075, 132.20392000978916]","[129.66000366210938, 126.90826454512386, 125.75136292827392, 124.87172922461873, 124.349184964943, 123.7467494591653, 123.33514981831014, 122.93624015545002, 122.54300760140471, 121.92211209180843, 121.71727629178298, 121.34556167837631, 121.11805985699087, 120.84671274468354, 120.61308287218851, 120.42954701333555, 120.36703276430059, 120.04988876741837, 119.93787480396469, 119.49040136615118, 119.28260238740688]","[129.66000366210938, 132.63981732275053, 134.0036292775264, 135.1230519358303, 135.97941370784002, 136.80868028793407, 137.52935618021587, 138.08254369947073, 138.65206241912497, 139.4509755869839, 140.06209218517267, 140.72606897459994, 141.28974886727954, 141.80166621163812, 142.2204984504455, 142.75101325021484, 143.11335780623244, 143.74899299524256, 144.12257845783103, 144.68695624247033, 145.12523763217143]"
2023-02-24 00:00:00+01:00,"[130.3000030517578, 130.37413020475967, 130.43591405390978, 130.5672208963862, 130.6995803891262, 130.8995135390415, 131.0770611957523, 131.2020427375095, 131.3162433161837, 131.40132116775902, 131.52328027645265, 131.64232793129287, 131.79096150476994, 131.94677195188532, 132.1018818926661, 132.26798186442454, 132.33938200146682, 132.42503253883157, 132.48625212606473, 132.584293540137, 132.58098865628156]","[130.3000030517578, 127.54785606052486, 126.44465549137838, 125.53621381060843, 124.91948335629392, 124.38419493854002, 123.91271100722415, 123.35933829934861, 122.94071988966923, 122.61002684351253, 122.15936600091696, 121.75236453010106, 121.36378769877527, 121.01321530013925, 120.90219117153619, 120.5753647427105, 120.3234219565503, 120.08957902917591, 119.66772628076521, 119.58101469551669, 119.37820612857283]","[130.3000030517578, 133.20040434899445, 134.42717261644117, 135.59822798216396, 136.47967742195846, 137.41483213954297, 138.24141138428044, 139.04474717567035, 139.69176674269815, 140.19261549200553, 140.88719455198833, 141.53229133248468, 142.2181353107646, 142.8803286036314, 143.30157261379605, 143.9605989861386, 144.35534204638333, 144.76048604848722, 145.30477797136425, 145.5875723847573, 145.7837711839903]"
2023-02-27 00:00:00+01:00,"[127.9000015258789, 127.96628864918497, 128.12084968521543, 128.20828067423142, 128.28327541962076, 128.3280668656657, 128.46720536366564, 128.5811659399377, 128.65559917419773, 128.72161931208407, 128.75619585166598, 128.80682513180096, 128.9153559317276, 129.0122808364684, 129.11111376203343, 129.20395358848126, 129.29349092829412, 129.3134147151617, 129.48327706565559, 129.6647621536373, 129.77533817368456]","[127.9000015258789, 125.2401935020114, 124.24268398615426, 123.28856946018149, 122.69154899202361, 121.9307650707727, 121.60466413332288, 121.09968778004945, 120.51614410059098, 120.18287213586063, 119.95243708177976, 119.56102829614827, 119.1383761037032, 118.69084759920598, 118.5339645888651, 118.32099849232493, 117.96211447878575, 117.7385052192321, 117.69109302253186, 117.56552068882557, 117.4679407545722]","[127.9000015258789, 130.69238379635857, 131.99901538427662, 133.12799188828134, 133.8750018472179, 134.72536866055873, 135.32974659400838, 136.06264409982595, 136.79505424780447, 137.2603664883075, 137.5599546215522, 138.05262196745366, 138.69233575975198, 139.33371407373082, 139.68826293520175, 140.0869086846376, 140.6248673778025, 140.88832421109134, 141.2754611087793, 141.76400361844904, 142.08273559279692]"
2023-02-28 00:00:00+01:00,"[129.55999755859375, 129.66230411564118, 129.7857906327571, 129.87085158160542, 129.94255056763123, 130.01261447633806, 130.10267159406297, 130.21809379554563, 130.31367483151732, 130.37730820962383, 130.4644305728147, 130.56308850782577, 130.65763696248814, 130.77660561575527, 130.89043518464132, 131.01289518524842, 131.1221997677724, 131.33391651967563, 131.43480668002655, 131.5705428469424, 131.61268648028096]","[129.55999755859375, 126.73818020000526, 125.63988115096303, 124.64681325032716, 123.90446349904076, 123.44391579678197, 122.75472568396884, 122.26770753823779, 121.91718772366988, 121.50498724984354, 121.23674101029823, 120.85859439060653, 120.56407689205591, 120.16603755707098, 119.96316964376396, 119.69526656542436, 119.4179623959991, 119.50369238749514, 119.09120769498095, 118.89423208853682, 118.65077701242859]","[129.55999755859375, 132.5864280312771, 133.93170011455118, 135.09488991288367, 135.9806376362217, 136.58131315589415, 137.4506175041571, 138.16848005285348, 138.71016193936475, 139.24962916940413, 139.69212013533118, 140.267582625045, 140.75119703292037, 141.38717367443957, 141.81770072551868, 142.3305238050725, 142.8264371395457, 143.16414065185612, 143.77840566507217, 144.24685360534798, 144.57459594813332]"
2023-03-01 00:00:00+01:00,"[129.33999633789062, 129.46484608670974, 129.60203493438783, 129.67697953126572, 129.73525690434218, 129.81570516914059, 129.9275761808282, 130.05095944596087, 130.24415835946803, 130.39043858579257, 130.53625117557283, 130.65865550228912, 130.72321679204916, 130.84974043978568, 130.93132889111806, 131.03965619424318, 131.15089291820073, 131.3855709445343, 131.61193498110478, 131.78211664624607, 131.85600427076406]","[129.33999633789062, 126.68705013585348, 125.66204989070759, 124.95608984288548, 124.29861695250834, 123.78091059709304, 123.12327350169113, 122.64354538015199, 122.22655235725549, 121.83944279597628, 121.26534163370894, 121.03421609506178, 120.60361090560087, 120.43349931317374, 120.25024604822454, 119.92904830592587, 119.82135116332401, 119.70003171454826, 119.65415170657975, 119.39909275087827, 119.04274834562335]","[129.33999633789062, 132.242642037566, 133.54201997806805, 134.39786921964597, 135.171896856176, 135.85049974118812, 136.73187885996526, 137.45837351176976, 138.26176436168058, 138.94143437560885, 139.80716071743672, 140.28309490951648, 140.84282267849744, 141.2659815663976, 141.61241173401157, 142.15026408256048, 142.48043467307744, 143.07111017452033, 143.5697182556298, 144.16514054161388, 144.66926019590477]"
2023-03-02 00:00:00+01:00,"[128.86000061035156, 129.006073375755, 129.04349270534806, 129.09550902420762, 129.22592408236895, 129.31481670411426, 129.39421803221342, 129.64405636433628, 129.799489536147, 129.891396679113, 130.02093758786458, 130.20973626509104, 130.36354397449497, 130.46440554464456, 130.52959135095125, 130.64110978144538, 130.67994391299274, 130.73676909786434, 130.76674283983397, 130.86537671870286, 130.96870443879865]","[128.86000061035156, 126.09240071900454, 125.04531022228855, 124.23954982484074, 123.61575144572119, 123.06405531085416, 122.44909321409568, 122.06122353214884, 121.7908226978368, 121.37369575264503, 121.00420743860985, 120.77762170146487, 120.56768858729549, 120.17143211961167, 119.71565937208274, 119.45408970873302, 119.0881920158581, 118.62972301538846, 118.40408288219756, 118.1602424938661, 117.89314239930829]","[128.86000061035156, 131.91974603250543, 133.04167518840757, 133.9514682235745, 134.8360967190167, 135.56557809737436, 136.33934285033115, 137.22688919652373, 137.8081563744572, 138.40909760558097, 139.0376677371193, 139.64185082871722, 140.15939936169445, 140.75737896967746, 141.34352332981976, 141.82812985415774, 142.27169581012737, 142.84381518034021, 143.12940279747036, 143.57051094353963, 144.04426647828902]"
