Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-27 00:00:00+11:00,"[27.322368621826172, 27.338595573123783, 27.351743789836085, 27.348934466279097, 27.371155877786762, 27.37002804380422, 27.373214423021683, 27.38845895116682, 27.399589469385603, 27.413268450859366, 27.41467518157324, 27.439562625465395, 27.439650114822857, 27.45221114323409, 27.47345200115929, 27.47253350324135, 27.483736539761956, 27.49072836255699, 27.515315034405358, 27.532291501897685, 27.539581495517183]","[27.322368621826172, 26.837532332982928, 26.635367245828373, 26.494422629379045, 26.383079400633726, 26.264563534504894, 26.153465469563084, 26.061254981604918, 25.998456417864194, 25.927676281387452, 25.838782300647566, 25.798921691327518, 25.708404125618976, 25.63660410128909, 25.590370479384475, 25.529366916456006, 25.48825866068954, 25.443516413679713, 25.405241496972153, 25.352319286591058, 25.285332425412683]","[27.322368621826172, 27.839658813264638, 28.068120333843797, 28.20344630317915, 28.3592323549398, 28.475492553103543, 28.59296337648028, 28.715662920728725, 28.800722520907012, 28.89886062033128, 28.990568062498916, 29.080203559603273, 29.17089610402674, 29.26781818517909, 29.356533522934107, 29.415700090026697, 29.479214418834374, 29.537940311434266, 29.625388571838563, 29.712263717204312, 29.793830565621683]"
2023-02-28 00:00:00+11:00,"[27.0532283782959, 27.059549373445446, 27.070395824842763, 27.073792962598347, 27.087757811044078, 27.10171624208059, 27.107841889025046, 27.118176157452677, 27.111752660908493, 27.11278287335027, 27.12549926916007, 27.144217123084637, 27.152255474547584, 27.16995159638358, 27.17855320181219, 27.18920520470934, 27.19513514097254, 27.212401201419645, 27.233226262468282, 27.246653322884345, 27.252865436612982]","[27.0532283782959, 26.58005767985606, 26.372496714589502, 26.239086979740883, 26.09652948987433, 25.98898827701537, 25.89771028265972, 25.796798004689066, 25.70697103535652, 25.64187147615465, 25.58173199383174, 25.50813053919313, 25.43994407431568, 25.39908246522494, 25.358655466405878, 25.2908342484984, 25.217256144270763, 25.180092549892635, 25.15172577311076, 25.131565587709794, 25.088353669223167]","[27.0532283782959, 27.53904106703483, 27.768294935096023, 27.90849894545581, 28.078986132213824, 28.214444207145814, 28.317973495390373, 28.439554310216288, 28.516534286460466, 28.58369427054589, 28.6692665444884, 28.780303706976145, 28.864566874779488, 28.94082072754222, 28.9984509372185, 29.08757616092028, 29.173014137674315, 29.244709852946656, 29.314726751825805, 29.361741058058897, 29.417377204002797]"
2023-03-01 00:00:00+11:00,"[27.164596557617188, 27.174693856757294, 27.181312088230005, 27.188453510236084, 27.20066203798401, 27.21252228490673, 27.212249887792364, 27.2140367516722, 27.226811388693505, 27.243380063596867, 27.264081962028182, 27.273450046967845, 27.280976005807272, 27.293481945339956, 27.304074287229792, 27.307712934678143, 27.323361200154732, 27.327716485294587, 27.334111960597678, 27.341988638151445, 27.35488330204292]","[27.164596557617188, 26.680828640050876, 26.465458516088084, 26.333806937988733, 26.221929583487015, 26.128479170735023, 26.049735433121946, 25.959421801994903, 25.914016106573666, 25.867814498697335, 25.829800309626627, 25.72951389066489, 25.683750397739704, 25.62950602283695, 25.550030796684176, 25.490621560578205, 25.432236479325212, 25.403774318618023, 25.342401834169973, 25.288975140122247, 25.23296625195301]","[27.164596557617188, 27.66855907346371, 27.897165660371925, 28.043100082483434, 28.179394492481006, 28.296565399078435, 28.374764342462782, 28.468651701349497, 28.539606670813345, 28.618945628496398, 28.698363614429738, 28.8173862032708, 28.87820161387484, 28.95745786784296, 29.058117777775408, 29.12480430877808, 29.214485920984252, 29.25165865197115, 29.325822087025383, 29.395002136180644, 29.476800352132834]"
2023-03-02 00:00:00+11:00,"[27.173879623413086, 27.17844944348286, 27.186610938871738, 27.209795786563447, 27.221600570630812, 27.22871036792001, 27.247475477965505, 27.26619990105643, 27.277990984297055, 27.28768017331838, 27.305979610956282, 27.311144607042827, 27.32367947696113, 27.32616240912452, 27.341123610637993, 27.35816381741483, 27.370155773507157, 27.390703812268693, 27.387736530466643, 27.402898660507287, 27.41061047976603]","[27.173879623413086, 26.683620975806612, 26.489201889200405, 26.367945442584467, 26.230284281462495, 26.135906239463218, 26.05902134822141, 25.973239035575283, 25.880424397346125, 25.822342161931967, 25.76285108090571, 25.69984896832177, 25.616286917641485, 25.545152994355767, 25.482309623445797, 25.435561257845304, 25.380212524384273, 25.36803194562806, 25.297278308629377, 25.24943061367226, 25.18939665485141]","[27.173879623413086, 27.67327791115911, 27.88401998854307, 28.051646130542427, 28.21291685979913, 28.3215144963768, 28.4359296077096, 28.55916076653758, 28.675557571247985, 28.75301818470479, 28.849108141006855, 28.922440245763884, 29.031072036280772, 29.107171823893275, 29.19993759783019, 29.280766376984356, 29.360099022630042, 29.413375678909325, 29.47819475230391, 29.556366707342313, 29.631824304680652]"
2023-03-03 00:00:00+11:00,"[27.201717376708984, 27.208963970285765, 27.224789815684257, 27.231813818033615, 27.247536842107408, 27.250948834451986, 27.272079555884257, 27.283912809343033, 27.28657615188733, 27.304157262402104, 27.31163063950284, 27.331692172264468, 27.34415657943939, 27.343242482396263, 27.35464165454218, 27.38019325143509, 27.400369693280062, 27.40231032784489, 27.41334443656317, 27.42611928752991, 27.434315843644175]","[27.201717376708984, 26.710445674325904, 26.53647221985976, 26.395560269789758, 26.279294077454125, 26.184218440812693, 26.120318192515242, 26.04951737568566, 25.950683256034587, 25.860090532869783, 25.804525800666706, 25.7625899847145, 25.694394425094995, 25.619569787086274, 25.55098978288483, 25.479295837317977, 25.44339743928397, 25.396168171108, 25.32825937191017, 25.32382196978291, 25.263225969185218]","[27.201717376708984, 27.707482266245627, 27.913107411508754, 28.06806736627747, 28.21577960676069, 28.31767922809128, 28.423840919253273, 28.518308243000405, 28.622469047740076, 28.748223991934424, 28.818735478338976, 28.900794359814437, 28.993918733783783, 29.066915177706253, 29.158293526199532, 29.281090665552206, 29.357341947276154, 29.408452484581783, 29.498429501216172, 29.528416605276913, 29.605405718103132]"
2023-03-06 00:00:00+11:00,"[27.322368621826172, 27.337743790165824, 27.344558300751356, 27.35535837838739, 27.37745806460724, 27.391920680996726, 27.407571729079276, 27.430823243018523, 27.441566279265114, 27.458538432139125, 27.47359166961756, 27.494635099157087, 27.518495634336134, 27.539540272557986, 27.56071915542097, 27.572982477936865, 27.584651644889725, 27.594440166947003, 27.61350026767092, 27.63966078169282, 27.646449220670306]","[27.322368621826172, 26.847499171800045, 26.67443097843909, 26.52231954443989, 26.42132888609981, 26.335406277666326, 26.226585763345, 26.128542591001846, 26.065634671255033, 25.975321475293534, 25.908013282926166, 25.86134464627462, 25.80598284736402, 25.781491502986, 25.729535390066612, 25.692567754441654, 25.616190499124347, 25.57880387061108, 25.526355695849126, 25.49587632390473, 25.45201610946953]","[27.322368621826172, 27.827988408531603, 28.01468562306362, 28.18839721233489, 28.333587243114668, 28.448435084327127, 28.588557694813552, 28.7331038950352, 28.817497887275195, 28.941755388984717, 29.03917005630895, 29.127925552039553, 29.231008421308246, 29.29758904212997, 29.391902920775326, 29.453397201432075, 29.553112790655103, 29.610076463282926, 29.70064483949271, 29.783445239480912, 29.840882331871082]"
2023-03-07 00:00:00+11:00,"[27.489421844482422, 27.50720919457617, 27.509128166649003, 27.520205605172794, 27.53063551414747, 27.5381437167533, 27.536676179739388, 27.54794178603404, 27.549975343654403, 27.563648197228652, 27.566206710862883, 27.57139058698756, 27.59099850823884, 27.606293616143983, 27.59284181924509, 27.604727389589186, 27.637682693955142, 27.65528018409901, 27.66883331410847, 27.680325423628194, 27.69510670461878]","[27.489421844482422, 27.01216078921103, 26.809832556663242, 26.680084122219093, 26.551393428450268, 26.46551145207353, 26.368200583068784, 26.300245987234522, 26.218750157200912, 26.11267729838552, 26.05179700795351, 25.977700379016365, 25.87043163643698, 25.827362130040395, 25.755307356868112, 25.710003924020526, 25.687567454405553, 25.64947023744917, 25.58955767720779, 25.53969598707029, 25.503789352328347]","[27.489421844482422, 28.00225759994131, 28.208423776634763, 28.360327088126496, 28.50987759984467, 28.61077598143307, 28.70515177640999, 28.79563758483356, 28.881200530107893, 29.014619096071783, 29.080616413772255, 29.165080794958758, 29.3115653800407, 29.38522510224757, 29.43037628162207, 29.499450855157846, 29.58779793350473, 29.66109013074885, 29.748108951009147, 29.8209548601861, 29.886424056909213]"
2023-03-08 00:00:00+11:00,"[27.656469345092773, 27.68093286949276, 27.70344175587298, 27.713269098173004, 27.73622899422647, 27.732300628669844, 27.743052492981857, 27.758513624177585, 27.76788725804942, 27.793868078496928, 27.806493904235523, 27.81243503628479, 27.82412824399676, 27.833969003195154, 27.860953198753556, 27.881347893132006, 27.887944428486893, 27.902918669160883, 27.918213925813536, 27.931244287957202, 27.960484855567003]","[27.656469345092773, 27.206035054575164, 26.99721116667032, 26.87055288419284, 26.73075934284394, 26.60394664023366, 26.503947231544725, 26.41441125239153, 26.34629714133233, 26.285804262326877, 26.212793471954786, 26.143360551102983, 26.07552126655107, 26.02224149061595, 25.965744039557432, 25.899945769172295, 25.82591476303495, 25.792596203812156, 25.73271807959794, 25.67318711172302, 25.630042174091408]","[27.656469345092773, 28.155830684410358, 28.40967234507564, 28.55598531215317, 28.741698645609, 28.86065461710603, 28.98215775441899, 29.10261599596364, 29.18947737476651, 29.30193189466698, 29.40019433651626, 29.481509521466595, 29.57273522144245, 29.645696515774357, 29.75616235794968, 29.862750017091717, 29.949974093938835, 30.01324113450961, 30.10370977202913, 30.189301464191384, 30.2909275370426]"
2023-03-09 00:00:00+11:00,"[27.489421844482422, 27.481696013223058, 27.494453254576808, 27.510125943003622, 27.53333800039829, 27.5630551813759, 27.593575828627614, 27.612350228371707, 27.601914040252936, 27.60785701764709, 27.64014427821196, 27.651965256284516, 27.644592821099533, 27.67405313732619, 27.67528970795543, 27.69394581377715, 27.705695849023442, 27.725802240091536, 27.750160457171493, 27.73654490705162, 27.742575591412635]","[27.489421844482422, 27.003865341621108, 26.808522376648448, 26.68125533972597, 26.57538108453358, 26.47723644642528, 26.427946174868993, 26.344627107031897, 26.222759014320417, 26.176352466166257, 26.121355301285977, 26.059241187281703, 25.968357371133276, 25.942100631856253, 25.901065550506633, 25.827937493167035, 25.7828716649006, 25.731929862227926, 25.71995377409955, 25.666511159421237, 25.622812198755906]","[27.489421844482422, 27.959526684825008, 28.180384132505168, 28.338996546281276, 28.491294916263005, 28.648873916326522, 28.759205482386236, 28.880073349711516, 28.981069066185455, 29.03936156912792, 29.158933255137942, 29.24468932528733, 29.32082827106579, 29.406005642796128, 29.449513865404224, 29.55995413438727, 29.628520033146284, 29.719674617955146, 29.780367140243435, 29.806578654682003, 29.862338984069364]"
2023-03-10 00:00:00+11:00,"[27.637910842895508, 27.651516776852137, 27.65945725416329, 27.666286119442375, 27.67352063114696, 27.689443185616124, 27.685457684975283, 27.70380427712443, 27.73340152981323, 27.75525666428406, 27.766897380500325, 27.791435914012762, 27.79773234688585, 27.803906223515785, 27.819108947918235, 27.83439033897002, 27.852585539886874, 27.868859552015035, 27.883013256115213, 27.904379420544387, 27.91710705450915]","[27.637910842895508, 27.192705269622056, 27.010358245192982, 26.87297323959981, 26.725637808969744, 26.626370389043263, 26.53717984475109, 26.467712025740077, 26.413757382402387, 26.364573221531728, 26.30400521472106, 26.23405196729137, 26.172570517431787, 26.108518221496805, 26.032528442828625, 25.98501972724304, 25.938687303801515, 25.90025781146266, 25.851296765553577, 25.819940915982862, 25.745409271562867]","[27.637910842895508, 28.110328284082218, 28.308556263133596, 28.459598999284943, 28.621403453324177, 28.752515982188985, 28.833735525199476, 28.939896528508783, 29.05304567722407, 29.145940107036395, 29.22978954627959, 29.348819860734153, 29.422894176339916, 29.499294225534765, 29.605689453007844, 29.683760950697003, 29.766483775972233, 29.83746129256741, 29.914729746676848, 29.988817925105913, 30.08880483745543]"
