Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-28 00:00:00+00:00,"[775.5667114257812, 775.9847440389742, 776.337117700045, 777.2957743436031, 777.6860697169185, 778.0130480545909, 778.6607917142259, 779.1642152970653, 779.6351123487225, 780.1911576806374, 780.5345409520892, 780.7317139972868, 780.9381107188686, 781.4710759103651, 781.6508321028379, 782.1364989652018, 782.0861609241615, 782.6867630940549, 783.14144668811, 783.4204494105418, 783.4993169894321]","[775.5667114257812, 763.9198140024174, 759.2286430636273, 756.1272765819018, 753.5517590420378, 750.8672121495547, 748.7767662443565, 747.2268010102041, 745.3958375451093, 744.1413205434341, 742.0675060224337, 741.0704526440081, 739.0875074738143, 738.0728402244362, 736.1096137003493, 735.3459341006331, 734.0724803937067, 733.5525368556191, 732.1624417563406, 730.7780665352246, 729.4508901807058]","[775.5667114257812, 788.049674075531, 793.4455923364628, 798.4642721053043, 801.8203803917992, 805.158883959627, 808.5448171840952, 811.1016295839265, 813.8743871523357, 816.2409948178407, 819.0015758817447, 820.3929753505654, 822.788713963923, 824.8693115962941, 827.1920505053264, 828.9270638297704, 830.0998414546164, 831.8209893324906, 834.1204516198794, 836.0628322858589, 837.5477437981585]"
2023-03-01 00:00:00+00:00,"[769.3717651367188, 769.9365885783699, 770.0577838900504, 770.2571161394791, 770.5771081221332, 770.7744123786767, 770.8171098570097, 771.0020429816389, 770.9386545398107, 771.1540555333103, 771.490217540023, 771.9166184369847, 772.1568969283926, 772.6456192434111, 772.9431876662595, 773.2084545253997, 773.5780901093154, 773.8502053105384, 773.8441249047511, 774.1701729403624, 774.7184696719546]","[769.3717651367188, 757.5739405388103, 753.0399573067355, 748.9858892518379, 746.1268108342686, 743.2422597464911, 740.4560656088935, 738.119356718426, 735.4543613015658, 733.5716280510408, 732.0342443342112, 730.5844098868567, 728.5392291319612, 727.899016807915, 726.282295744128, 724.8061936600982, 723.1671095953712, 722.0297338395031, 721.1340709628826, 719.651505990978, 719.2136203195913]","[769.3717651367188, 782.2992366179294, 787.0756104733653, 791.5283430271203, 795.0274054099978, 798.3065650108624, 801.1781541051258, 803.8847292448517, 806.4229477780557, 808.7364830155798, 810.9461907458348, 813.2488269871126, 815.774564724824, 817.3922216789073, 819.6040795883911, 821.6107153907012, 823.9890706232596, 825.6706767815737, 826.5541788466196, 828.6888398897468, 830.2233190243179]"
2023-03-02 00:00:00+00:00,"[773.8681640625, 774.2732974188993, 774.6445815822768, 775.3824312260472, 775.5353319934306, 775.8277702940104, 776.1188940959083, 776.6690500180329, 776.7833059662913, 777.0925370278213, 777.7715092171571, 778.0733460476396, 778.456507431862, 778.7292799883629, 779.1062136833006, 779.3285463008774, 779.709759159822, 780.145908113348, 780.5512964867721, 781.1238107570683, 781.8366925031643]","[773.8681640625, 761.9664603547695, 757.8943158142224, 755.5570579276169, 752.0483548142452, 750.6307957414929, 747.7036451539317, 745.9864317636401, 743.6435653049696, 741.5490710770046, 740.1315220429609, 738.230497741705, 736.0531975579397, 734.0930821397887, 732.1859546959912, 730.6440829660035, 729.2930926441605, 728.6871784451764, 727.924853772675, 726.6447833069419, 725.5336235233508]","[773.8681640625, 786.5801344830292, 791.3948473503312, 795.2078045244774, 799.0223091726161, 801.0247448465279, 804.534143037885, 807.3516682724256, 809.9230466276131, 812.6360029786381, 815.4114963913534, 817.9161943535742, 820.8598173057842, 823.3654778369371, 826.0264726706099, 828.0130096357514, 830.1264256754836, 831.6046377815196, 833.1777392008693, 835.6028382071947, 838.1397614829777]"
2023-03-03 00:00:00+00:00,"[778.2645263671875, 778.8362965355285, 779.1981990766034, 779.7341115641672, 780.4264059682243, 780.8128034236169, 781.0011068454936, 781.6964184826452, 782.0481664735878, 782.759310818196, 783.1966039200564, 783.5383600091423, 784.4121969458204, 784.9939594569022, 785.4825430180849, 785.9924916490035, 786.7142384607163, 787.1642973110401, 787.8726879613861, 788.4442096137074, 788.9762703439518]","[778.2645263671875, 766.6310379640562, 762.1178830115234, 758.7356487756521, 756.416313164634, 753.8340537257277, 751.098580768518, 748.5939509991578, 746.7898217084642, 745.1560317614718, 743.3115683912393, 741.4369952636196, 740.2802433589259, 739.793254926647, 737.7506197356705, 736.3125836249149, 734.9912599378196, 734.4862365301102, 734.0488008983772, 733.8109542231404, 732.3619809085698]","[778.2645263671875, 791.0415551070008, 796.2785151416833, 800.7325743526823, 804.4364987718147, 807.791553121506, 810.9036329224692, 814.7988859661326, 817.3065112387114, 820.3625898749202, 823.0816394488735, 825.6397247546649, 828.5441505327149, 830.1946639871574, 833.2144663004993, 835.6723996730921, 838.437216983613, 839.8423580919699, 841.696575024395, 843.0774650042744, 845.5905597793338]"
2023-03-06 00:00:00+00:00,"[778.3643798828125, 778.9944467788025, 779.3824287311735, 779.4579726064308, 779.7857585414496, 780.112452486195, 780.788660178612, 781.0587105656841, 781.247231412316, 781.6485470128522, 782.0555468666392, 782.3152562991589, 782.6841228760105, 783.1622971881211, 783.439856276542, 783.8963598711028, 784.3742322586917, 784.9327936886903, 785.2839174316938, 785.7190179781499, 785.8803488883693]","[778.3643798828125, 767.0574417553562, 762.8688265346389, 759.2159729394118, 756.3378775361384, 753.367862649627, 750.7525345188059, 748.5867101094972, 746.4982908154742, 744.7371447254952, 743.3306776540418, 741.6730050700673, 740.4166586141587, 739.5660184526917, 737.8877569014882, 736.2657572187776, 734.996018454513, 734.7042394125094, 733.7105028092683, 733.0589235905434, 731.8356038074685]","[778.3643798828125, 790.9314518022488, 795.8960309277081, 799.6999722734497, 803.2336395467607, 806.857042322763, 810.824785838418, 813.5307110218711, 815.9961720091577, 818.5599493002092, 820.7804160792367, 822.9575075282505, 824.9515871378624, 826.7585759235506, 828.9919556515957, 831.5269625234281, 833.7524460628704, 835.1613479648711, 836.8573320541193, 838.3791123657563, 839.9250939692702]"
2023-03-07 00:00:00+00:00,"[776.5658569335938, 776.9945612527611, 777.2748377958816, 777.7806170103163, 778.0309897460253, 778.1346026534939, 778.4828389998999, 779.0995840684953, 779.2287082984008, 779.4652284131805, 780.060406722525, 780.8064617425046, 781.1744307073606, 781.5423430914292, 782.0863398889353, 782.3219937205592, 782.7842611265861, 783.6478334655241, 783.9580172131962, 784.6869654764333, 785.2018674968584]","[776.5658569335938, 764.8986540488504, 760.9113538176534, 757.4845634305224, 754.3031879851889, 750.9894550979095, 748.3723747069859, 746.4687194791693, 744.05977968591, 742.0979151791441, 740.6445117276497, 739.0084304037716, 737.3878386433676, 735.9504693246179, 735.2117903354429, 733.8371345950172, 732.8451019391647, 732.4398256749545, 731.2968506765126, 730.6602958660178, 729.8605401203207]","[776.5658569335938, 789.0904684566717, 793.6383217741097, 798.0766705901102, 801.7587915068617, 805.2797502090782, 808.5933032928139, 811.7304486578214, 814.3976369108915, 816.8325416472169, 819.4763017174004, 822.6044930812375, 824.9610227713536, 827.1342168582405, 828.9608894424277, 830.8068528461013, 832.7234203140075, 834.8558412560936, 836.6191837498798, 838.7136350868489, 840.5431948733961]"
2023-03-08 00:00:00+00:00,"[775.6666870117188, 776.1288071630476, 776.3117399280455, 776.8298093999655, 776.8498120773891, 777.2794897754193, 777.5747984861213, 777.5327659389685, 778.0579964306893, 778.3394826192291, 778.5513389048467, 778.8077989284437, 779.0543142402074, 779.4357758244903, 779.9458852355757, 780.4059274568624, 780.7616260179609, 781.1009117204145, 781.3795819927726, 781.6466704264691, 781.7911840200268]","[775.6666870117188, 764.2230428893564, 759.4758032510568, 756.3462872317925, 753.1677889335092, 750.580467646671, 749.2616185580271, 746.6340415949916, 744.8259874129319, 743.0627875175891, 741.4886407687674, 740.2211627191563, 738.6282841856496, 737.4289342658928, 736.3699112111702, 735.3397605112756, 734.2914317011252, 732.7291194966853, 731.3237245302472, 730.3348491547832, 728.8390468110405]","[775.6666870117188, 788.0345714367387, 793.1476766050342, 797.3133315681384, 800.5318352212689, 803.9785119041676, 805.8879784142155, 808.4314902829454, 811.2900054484467, 813.6161777208691, 815.6140370409261, 817.3944351377312, 819.4803442947652, 821.4426173830877, 823.5218592599812, 825.4720944024492, 827.2318203347966, 829.4727039441437, 831.435439455298, 832.958491698155, 834.7433212290131]"
2023-03-09 00:00:00+00:00,"[777.0654907226562, 777.4332315478239, 777.7485792277287, 778.296825201734, 778.7591612565768, 779.1502184329929, 779.6712872752594, 779.8520539997544, 780.3660592122413, 780.6762643634784, 781.1277026003984, 781.3750726791014, 781.7753405098787, 781.9383876373917, 782.4901108210851, 783.2038185438626, 783.4389779382032, 783.9497236629157, 784.2151248374812, 784.548728763083, 784.8510468142417]","[777.0654907226562, 765.8072617626902, 761.1699600998253, 758.2112877313152, 755.3924341698914, 752.6705347562216, 749.8103826395159, 748.4377270331217, 746.7762384933593, 745.1412065484652, 743.694846396844, 742.1118539825711, 740.3894877390601, 738.8475573702198, 738.0527077935196, 737.1037082210019, 735.3038385611967, 734.3663834006659, 734.0207802258753, 732.681503757527, 731.2865704443311]","[777.0654907226562, 789.0592013329575, 794.327198355632, 798.3823626721528, 802.1258883432622, 805.6299021097642, 809.5321919110029, 811.266380966387, 813.9558799311234, 816.2113221784915, 818.5605588039527, 820.6382913756318, 823.1611932806973, 825.0292179045636, 826.9275138486505, 829.3039288667233, 831.5741173152096, 833.5330639251656, 834.409469449087, 836.4159537686389, 838.4155231841523]"
2023-03-10 00:00:00+00:00,"[772.868896484375, 773.3125916164315, 773.5492976240515, 774.035582872266, 774.5349256895282, 775.0789306985924, 775.6194034299218, 775.739088479693, 775.8270418523537, 776.081870018573, 776.4346567214907, 776.5963431599898, 776.8807736941483, 777.2443706679104, 777.6316623323503, 778.0763277636601, 778.6812190691787, 779.0447122265068, 779.4600909444215, 780.1384017960191, 780.4524730097482]","[772.868896484375, 761.4150855416418, 756.6725582217265, 753.2238735430448, 750.6501398174546, 747.7958610110774, 745.8576884858047, 743.9145808643317, 741.6626199181186, 739.4103430184542, 738.2268594969353, 736.8248596848143, 734.824798979196, 733.3432196950297, 731.8311432990911, 731.0716328345418, 730.0971053333752, 728.5288149825426, 727.6078455213619, 726.9770937568447, 725.7075460841409]","[772.868896484375, 785.2100976912212, 790.4260370263765, 794.8472922014872, 798.4197115616018, 802.3620003861075, 805.3811183740389, 807.5635960950543, 809.9914637865887, 812.7533970186918, 814.6424539460461, 816.3678266351653, 818.9367484091006, 821.1455216407911, 823.4321813656095, 825.0810226927783, 827.2653328049822, 829.560609470471, 831.3123363674811, 833.2997098351935, 835.1973999353556]"
2023-03-13 00:00:00+00:00,"[759.5797119140625, 759.665917117114, 759.9270094936858, 760.1161823268197, 760.3801306330633, 760.5057220203403, 761.0652421986773, 761.3960379219525, 761.8243073330375, 761.6089100530633, 761.7524488522041, 762.0143460359126, 762.3133691617666, 762.4486727751361, 762.8718876277653, 762.96940695912, 763.516905915516, 763.930721262335, 764.3538634836516, 765.0312595491915, 765.5837207932882]","[759.5797119140625, 747.8620114610428, 742.865491149405, 739.5332495732212, 736.7217971146009, 734.4031737607854, 733.0370409581753, 731.3962201061045, 730.0418472462235, 727.3935165597325, 725.6398641363824, 724.6566823325289, 722.5465300737632, 720.9755952540517, 720.1735600725054, 718.7938476430774, 717.7248005284982, 716.3777877671909, 715.2371352338887, 713.7673381471313, 712.4705852946793]","[759.5797119140625, 771.4698227731851, 776.9885278379666, 780.6991150804183, 784.0384641515258, 786.6082702798951, 789.0934434391793, 791.3958557378005, 793.6067674198515, 795.824303546394, 797.8650335680259, 799.3720097392962, 802.08020824977, 803.9217502962205, 805.5702151830252, 807.1449662751626, 809.3090113025337, 811.4836547574793, 813.4705917334145, 816.2951809512517, 818.6968562918971]"
