Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-28 00:00:00-05:00,"[385.6535949707031, 385.46890967532227, 385.9308806935373, 385.9862734223277, 385.87170228870724, 385.47440242770176, 385.1476914515666, 385.12714618762095, 384.89763813016015, 384.9904099405798, 385.0299850242266, 385.06145934800134, 385.1383149136817, 384.8855859780961, 384.8081263731308, 385.1750420839267, 385.3191984719762, 385.4064977915307, 385.40222162214855, 385.5492498880428, 385.5106007075114]","[385.6535949707031, 375.02611524169356, 370.78417619655636, 367.8942105754594, 364.912006436239, 361.99171495349367, 359.16443051216925, 357.406885909418, 354.7770371299685, 353.05885010007944, 352.2503682825808, 350.38956206922563, 348.8764628349418, 347.3003478081963, 345.4917177325736, 345.0881350651838, 344.2782567628214, 342.9483980766233, 342.12866899878884, 340.8936497314487, 339.5857699581277]","[385.6535949707031, 395.91170410895097, 401.0775851905182, 404.07833626919603, 406.8313981411755, 408.95708990190985, 411.1309523909639, 412.8474064658239, 415.0182391303518, 416.9219697810802, 417.80960176587246, 419.73335662677704, 421.40016699242165, 422.4708241479959, 424.124535013688, 425.26194910266963, 426.36014018113104, 427.8645975064381, 428.67577424550825, 430.20485004463694, 431.4354314568951]"
2023-03-01 00:00:00-05:00,"[384.2283020019531, 384.25644870301954, 384.3567503448541, 384.4982696415717, 384.49811036339077, 384.5405508755816, 384.2685682603619, 384.1128639393131, 384.2711636329254, 384.1327145794793, 384.14181634315725, 383.91540466576976, 383.87658176098233, 383.9165005077986, 383.95558263395066, 383.99804005900813, 384.05119584820244, 384.09071615544417, 384.10064774444896, 383.9070442428361, 383.7206716125498]","[384.2283020019531, 373.5447437659269, 369.1238803225566, 366.09872017722546, 362.99252264855215, 360.5544152715436, 358.5639937179188, 356.6994818520949, 354.84388351073903, 352.8967122421397, 351.4451753387659, 349.5106443886828, 347.5475574129956, 346.13355640664884, 344.980014066712, 343.287791520495, 342.0158921836733, 341.1557313124456, 339.3489991318577, 337.8115267488157, 336.22026056307357]","[384.2283020019531, 394.9681536401122, 399.5896203671516, 402.89781910591796, 406.0036980782294, 408.52668647961957, 409.97314280280506, 411.52624602653134, 413.6984437551117, 415.36871691681887, 416.83845734754857, 418.3201649428567, 420.20560610896905, 421.6994446089484, 422.9311512011893, 424.7082885975213, 426.08649951273156, 427.02570099844274, 428.85229635704025, 430.0025617368565, 431.221082662026]"
2023-03-02 00:00:00-05:00,"[382.7544250488281, 382.5888920907463, 382.45070776840987, 382.4700979069258, 382.40054956984545, 382.42772728634253, 382.70878563804666, 382.9026113741091, 382.8230223355736, 382.7257947101203, 382.67107544477426, 382.7004435563999, 382.6120117558907, 382.5967721131401, 382.79992772276603, 382.44769160981093, 382.2968384773995, 382.13746813768125, 382.1324228899524, 382.4137453821331, 382.29267712049403]","[382.7544250488281, 372.4958721153273, 367.8670490270581, 364.32155470184836, 361.27288964450383, 359.1307774124258, 356.9064184766328, 354.8692308369662, 352.8030524863005, 350.5663315015675, 348.240228330009, 346.6595318665464, 345.53282293717035, 343.5518369152503, 342.39001786568406, 340.3489288079498, 338.6889439033779, 337.2784345450031, 335.61239094904494, 334.72930567442285, 333.3241193711801]","[382.7544250488281, 392.6819120661653, 397.03436650976164, 400.6186411120032, 403.52820949518707, 405.72467716025926, 408.51115279946055, 410.93599191125196, 412.84299218484676, 414.88525791867306, 417.1019225595395, 418.74135524625336, 419.69120057461106, 421.6417073110299, 423.209837579848, 424.5464544116721, 425.9047330514211, 426.9965017303594, 428.6524548308599, 430.0981850898433, 431.261234869808]"
2023-03-03 00:00:00-05:00,"[385.73114013671875, 385.6643992845725, 385.74822726350186, 385.66280088252597, 385.4973251151707, 385.36339346261883, 385.39015934279604, 385.2375487512499, 385.34699774762277, 385.651504402053, 385.6714348067658, 386.11451386992775, 385.81636280074275, 385.64153565098513, 385.5476184387999, 385.39826979170846, 385.4407383546152, 385.73555401244573, 385.4688025525736, 385.7190234987523, 385.6870682835869]","[385.73114013671875, 375.0139702978231, 370.97910091339844, 367.4851745321169, 364.307602263272, 361.24090537653404, 359.34921405042815, 357.5381478877959, 355.5131641061966, 354.202111682544, 351.9571398343185, 350.60180470468583, 348.1318076063672, 347.6725834706875, 345.6035685401555, 344.14980837780377, 343.14509351608507, 341.95606924371833, 340.1549705732696, 338.86793916565114, 338.0519876322983]","[385.73114013671875, 396.31482827132186, 400.5173536136053, 403.84042723293504, 406.6870479670695, 409.4858815487036, 411.43110463516393, 412.9369496147039, 415.18083138904893, 417.10089712156196, 419.385729779213, 421.62722303516966, 423.5009179951183, 423.61048783128274, 425.49166833744425, 426.64673120561315, 427.7363831931453, 429.51503878117313, 430.7826345318776, 432.5701078318534, 433.3221489348755]"
2023-03-06 00:00:00-05:00,"[391.9174499511719, 391.9720186435288, 391.9370684780064, 391.87944350142476, 391.56167351835643, 391.60207344506415, 391.69948473066466, 391.64338623561247, 391.7613679310438, 391.70085561216797, 391.6439857319323, 391.6462459661212, 391.86446144288345, 391.8210041368931, 391.9062516521907, 392.00357362383465, 392.2255881328156, 392.24695300423593, 392.5952786126456, 392.83580981242375, 392.83395354201235]","[391.9174499511719, 381.5046220415209, 377.22735275732447, 373.4983540252177, 370.4170242037295, 368.1674696909983, 366.37221823305117, 364.01799400111173, 362.4712650867022, 360.39784988375175, 358.15880531480354, 356.56111731918463, 355.07609725501226, 353.6745190060962, 352.5375053071396, 351.2598658608773, 349.7742435769916, 348.2856026818628, 347.39986089773174, 346.2459450666138, 345.08902179783524]","[391.9174499511719, 402.43941524553674, 406.6467841986883, 410.26053297763184, 412.70632283298335, 415.03667719913, 417.02675122827816, 419.2687784701132, 421.05147077538544, 423.0038613405842, 425.129166149061, 426.7313746130578, 428.65282563075465, 429.96748926769004, 431.27499799724177, 432.747281386792, 434.67693268863957, 436.20830332660904, 437.79069632755943, 439.4256745582337, 440.57888528618946]"
2023-03-07 00:00:00-05:00,"[392.18902587890625, 392.30845909253424, 392.2014917821757, 392.28712907292874, 392.5692295972857, 392.40398343130704, 392.22363267729, 392.06033667217906, 392.05042466392143, 392.03328392500543, 391.943672312623, 392.10176249437774, 392.06791566725275, 392.45061033410565, 392.21387466652357, 392.4342964461059, 392.5684267165302, 392.42514538008953, 392.46866289227023, 392.44048563038115, 392.5786554824794]","[392.18902587890625, 381.70855502593645, 377.54081824513906, 374.13714375050404, 371.7697561111233, 369.03314853603587, 367.2094647138994, 364.58355085342504, 362.729029627212, 360.7487569580268, 358.56059234679054, 356.6891185561778, 355.2642866555897, 353.56938403369094, 351.76946885987775, 351.42356742998027, 350.44999971643773, 348.81445015469075, 347.403379698154, 345.729208147753, 344.3817029337854]","[392.18902587890625, 402.908363159132, 406.86216531921235, 410.43711439535343, 413.3687030834481, 415.7748183265782, 417.23780064068063, 419.5371224909331, 421.37181970063085, 423.3178108919841, 425.32675227845544, 427.5144064325777, 428.8715446789158, 431.33183663452036, 432.6582804731694, 433.44502546223157, 434.6868537166227, 436.0358406054883, 437.53394608638644, 439.1517631130093, 440.7756080311734]"
2023-03-08 00:00:00-05:00,"[386.1772155761719, 386.4635607265403, 386.3338595612941, 386.4027137681791, 386.2706338543021, 386.33439432586, 386.52382061457627, 386.8305856507896, 386.99097301914355, 387.1199785527725, 387.396387136271, 387.4610865074182, 387.5890527801643, 387.85678792941195, 387.53617450248834, 387.44944325701704, 387.4236781100443, 387.4033043865203, 387.346484661183, 387.1196035560282, 387.1491946006992]","[386.1772155761719, 376.12135716491423, 371.14862783647357, 367.8411735354998, 365.1209791351246, 362.2187063620701, 360.0517412182603, 358.1377868151274, 356.27546356218295, 354.01287384166943, 352.74197157472304, 351.0957661689652, 349.80766446306546, 348.8555039532027, 346.9932324917995, 345.7894032992633, 344.77893697988713, 343.0418828417885, 341.6805735645242, 340.7008986260135, 339.3037068575252]","[386.1772155761719, 396.8057642881664, 401.51909128611464, 404.96425400085843, 407.4202885734796, 410.45008228964986, 412.9959000108922, 415.5233844864518, 417.70648247610416, 420.2270832638756, 422.050802697819, 423.8264068458712, 425.37044109726315, 426.8580719056212, 428.07911651317715, 429.10948321477076, 430.0684192402015, 431.7647259312521, 433.01239575784183, 433.5383084860429, 434.99468234387325]"
2023-03-09 00:00:00-05:00,"[386.8075256347656, 386.9797850216223, 386.9480725477539, 386.83874705985005, 386.64069314316987, 386.4622666663438, 386.44293006628055, 386.442434919047, 386.5076252636734, 386.58565412383257, 386.9765417418744, 387.185517001561, 387.46576224317437, 387.3673223839279, 387.4000959108602, 387.3460846251771, 387.5885761122701, 387.8902285340564, 387.8734401602484, 387.6452492023271, 387.6567313953935]","[386.8075256347656, 376.58340237692573, 372.53449520080346, 368.71475501414335, 365.8854109240629, 362.96060206401125, 360.952308252378, 358.8227845193298, 356.9924840742888, 355.3469350515391, 354.71689786614076, 353.51870356457516, 351.7440155399553, 350.20889899407115, 348.6629249443377, 347.21875543257147, 345.8367230812808, 344.4802861054609, 343.78830908873033, 341.84258517899457, 341.2647838841519]","[386.8075256347656, 397.3761676663189, 401.3616498947043, 404.96273910555675, 407.39597536227683, 409.96393126867633, 411.93355188018313, 414.0620853187642, 416.02276645305795, 417.82437319612603, 419.2361856176081, 420.8523304385468, 423.18750894639345, 424.52574577378465, 426.13726687738273, 427.4734138177828, 429.3404291432594, 431.3001709626519, 431.9585712317664, 433.4479132256596, 434.0486789066351]"
2023-03-10 00:00:00-05:00,"[379.6709899902344, 379.5055801333357, 379.5555869218472, 379.75292000045437, 379.5529337005994, 379.46884428211695, 379.3185424049033, 379.16021422755824, 379.3895769282894, 379.28550416177745, 379.25555517842605, 379.47971062852463, 379.5978470982952, 379.5425165638877, 379.30354524672373, 379.25950095435104, 379.2665379348251, 379.1160448741985, 379.0817172040116, 379.2906298674282, 379.293950275233]","[379.6709899902344, 369.0265225120192, 364.37201325558715, 360.90763938448777, 358.2575977048391, 356.03525323676297, 354.03208609343295, 352.0188296508162, 350.1949899059476, 348.12794551612865, 346.2545495077799, 345.204657894139, 343.784956246187, 342.44008854476135, 341.17571941133133, 339.9119838135589, 338.85080066325855, 337.43934584981616, 335.6253313354741, 334.8316013291732, 333.84676788152814]","[379.6709899902344, 389.98463775465217, 394.7391605881072, 398.59820061642097, 400.8482696963597, 402.9024353274709, 404.6049987163737, 406.3015988043003, 408.5841639506312, 410.44306280742626, 412.2565608490722, 413.75476336291024, 415.41073795040336, 416.6449445830141, 417.43137108211613, 418.6070180951432, 419.6822752063917, 420.79274389858085, 422.5381030725492, 423.7496584056832, 424.74113266893784]"
2023-03-13 00:00:00-04:00,"[374.1925964355469, 374.24884332113515, 374.2191096882387, 374.1641371363548, 373.98096944389687, 373.7345132198455, 373.4773292632634, 373.17079062345726, 373.02864372776116, 373.36533372998576, 373.0838578174984, 372.8292172439929, 373.0249442503335, 373.18797882184685, 373.2194606114915, 373.11247489317515, 373.0316304787069, 372.8323348049357, 372.8898438335969, 372.4726403380693, 372.31371537853926]","[374.1925964355469, 363.77014989607056, 359.8182672842045, 356.40617534934154, 353.90314998395235, 351.44786876982596, 349.3171326925158, 346.83454951752776, 344.8643766984268, 343.5295308028164, 341.3751148793996, 340.048998943769, 338.6899318608585, 337.17853846173523, 335.3221102683897, 333.9282495839897, 333.0840994957514, 331.6516883358322, 330.71997277987424, 329.6094873753076, 328.003723919453]","[374.1925964355469, 384.72753674619975, 388.61995209227285, 391.922098923368, 394.0587889038414, 396.02115766986503, 397.637525834011, 399.50703172938677, 401.19291075709555, 403.20113665715513, 404.7926007555973, 405.6094355442168, 407.35995663980844, 409.1974191819585, 411.11681095459335, 412.29670020236057, 412.97916146166244, 414.01298127403925, 415.05971488731956, 415.335793300831, 416.6237068376255]"
