Date,Forecast,Confidence_Interval_Lower,Confidence_Interval_Upper
2023-02-28 00:00:00-05:00,"[30.46613883972168, 30.47343018028143, 30.47251892840392, 30.487314967271647, 30.50342505688046, 30.509860374362436, 30.516322999874713, 30.51448953956423, 30.520075748170935, 30.551436062064067, 30.560925755592347, 30.55725544445464, 30.574912271317622, 30.58120885975437, 30.586171859758103, 30.60174181662408, 30.60414393386228, 30.611858484250988, 30.635485236703243, 30.6457792556278, 30.654631281345914]","[30.46613883972168, 29.901869140119224, 29.66889318480847, 29.47616893237826, 29.34032078204119, 29.225388448356103, 29.11481164793497, 28.998158407466473, 28.9116305287488, 28.859171615964666, 28.78049942780271, 28.69370026654871, 28.635231244788358, 28.530457716423143, 28.439717333045024, 28.36331217884635, 28.265266580445708, 28.177959996606024, 28.13493596303818, 28.09012255116184, 28.03944904805634]","[30.46613883972168, 31.044991220443634, 31.276144671999372, 31.498461002165033, 31.66652933171973, 31.79433230036877, 31.917834351814456, 32.030820671661985, 32.12852096759307, 32.243700508163464, 32.341352083381985, 32.42081062236057, 32.514593297846886, 32.631960003085595, 32.73262638647118, 32.84017145440181, 32.943021287278846, 33.045756971895955, 33.136034510368304, 33.20143596009376, 33.26981351463549]"
2023-03-01 00:00:00-05:00,"[30.40960121154785, 30.42057408219606, 30.43328393007653, 30.442455782375866, 30.45809239071721, 30.465579594103986, 30.47382827960226, 30.487163525331365, 30.48096224689029, 30.49654718477434, 30.491251894838157, 30.503918598260476, 30.49578697777394, 30.507972903140963, 30.53436751921407, 30.522642588307704, 30.520360632546826, 30.526693024286853, 30.52515134412105, 30.526721991134615, 30.514689415168178]","[30.40960121154785, 29.868890382023018, 29.607787873221305, 29.440914798141122, 29.303795613943258, 29.193175292498044, 29.075734954429283, 28.939113087979447, 28.83006439008369, 28.752268561747023, 28.651505970217492, 28.575130861685157, 28.493967494034028, 28.40939595261082, 28.31324504536584, 28.233543222900302, 28.18218111711326, 28.1366844377631, 28.094589020143854, 28.03905331740015, 27.980036237299064]","[30.40960121154785, 30.972257782369105, 31.258779986931756, 31.44399676661061, 31.61238916749116, 31.737983895709927, 31.871921604775235, 32.03521396268329, 32.13186010369689, 32.240825807801656, 32.33099781945882, 32.43270633483579, 32.49760646151385, 32.60654985367111, 32.7554899930623, 32.81174195371511, 32.85854014798039, 32.916701610810605, 32.95571366809825, 33.01439066486908, 33.049342593037295]"
2023-03-02 00:00:00-05:00,"[30.484983444213867, 30.49272234364671, 30.506202740967638, 30.522293292412762, 30.538039764893107, 30.523898074306757, 30.52894702211337, 30.52873052133986, 30.53315564617198, 30.52839957628912, 30.547071887968542, 30.565092701583346, 30.585933465450836, 30.606708664274066, 30.610760659735025, 30.617299824121606, 30.614298271549384, 30.618369352793337, 30.617027251176566, 30.61294052343428, 30.622545120676484]","[30.484983444213867, 29.90820101248591, 29.666316727800044, 29.535721605683328, 29.412669698045534, 29.260855014577373, 29.152966815357924, 29.049349120580874, 28.935971642476733, 28.850908644386216, 28.782605537509895, 28.70789540703964, 28.652782626392725, 28.586467205514595, 28.488419287344374, 28.40781332941687, 28.31378119052294, 28.259235332163836, 28.162594289327696, 28.093623296287063, 28.036025331948895]","[30.484983444213867, 31.077243674807512, 31.34608875413523, 31.508864979142196, 31.66340983174068, 31.78694113403614, 31.904927228868818, 32.00811192209885, 32.13033964986723, 32.20589050819203, 32.31153823842719, 32.422289996127056, 32.51908430450895, 32.62695012303354, 32.73310203212567, 32.82678631882634, 32.91481535257583, 32.97750337342284, 33.07146021302544, 33.132257750581495, 33.20906490940407]"
2023-03-03 00:00:00-05:00,"[30.61691665649414, 30.628855073689284, 30.62998553561944, 30.638171976336498, 30.631159390535167, 30.625196853253183, 30.622949522460193, 30.624446542276395, 30.629470243679023, 30.64401799063706, 30.665056036939816, 30.6799561065022, 30.69205923324438, 30.710897210235945, 30.73194791419991, 30.742132227199857, 30.741640867359507, 30.742338642803613, 30.768615735591705, 30.768889758227953, 30.776921480063237]","[30.61691665649414, 30.06700557911949, 29.839516515605244, 29.657342429465583, 29.489809514629222, 29.369448757372762, 29.245033065733605, 29.135738082732242, 29.028585332633895, 28.93870533992561, 28.85079117124683, 28.765565045004283, 28.71088609796587, 28.65108739557988, 28.60583151759506, 28.574897571634807, 28.51959241653672, 28.411416696484036, 28.365182558680658, 28.312459643148685, 28.246010720588526]","[30.61691665649414, 31.19070456825908, 31.420454555633636, 31.619001523207412, 31.772509266441112, 31.880944949133603, 32.00086597918678, 32.113155001820544, 32.23035515472415, 32.34933064134851, 32.47932090263281, 32.59434716800012, 32.67323236852289, 32.77070702489201, 32.85806431080476, 32.90936688276491, 32.9636893181823, 33.07326058912319, 33.17204891250275, 33.22531987330722, 33.30783223953795]"
2023-03-06 00:00:00-05:00,"[30.97500228881836, 30.98594490516264, 30.984479699902057, 31.004908473294815, 31.016478240167533, 31.030471223960152, 31.03789648212891, 31.048209257625494, 31.05580532584007, 31.06858871914666, 31.074132214078173, 31.084352298469344, 31.109785323990042, 31.117425474155244, 31.130698158254884, 31.13137654524264, 31.163678846311424, 31.184248216631932, 31.200740359639724, 31.20637879608496, 31.216950626750982]","[30.97500228881836, 30.39896641948844, 30.186001076368896, 30.03921590074554, 29.88284207327898, 29.76144134823239, 29.64084972535329, 29.51632465639147, 29.417966364895516, 29.342743954103025, 29.260557799486865, 29.200381716710506, 29.13349232477098, 29.010650654322504, 28.951463611763646, 28.881960654540023, 28.84359291486166, 28.79248658624779, 28.728611037325877, 28.680333664935866, 28.6019799806262]","[30.97500228881836, 31.57292339083684, 31.782958323435217, 31.97060104584409, 32.15011440705609, 32.299501099687916, 32.43494323890453, 32.58009385885952, 32.69364428678462, 32.79443348419029, 32.88770662866948, 32.96832288022818, 33.08607832320911, 33.224200293987984, 33.309932704746124, 33.38079243594526, 33.48376477776119, 33.576009847016074, 33.67286968195357, 33.73242392723405, 33.83192127287576]"
2023-03-07 00:00:00-05:00,"[30.88077163696289, 30.900548050128872, 30.905661921229306, 30.926122912108703, 30.93722570403832, 30.937929516697558, 30.9427600177376, 30.964311242216393, 30.9638425762802, 30.971642970741538, 30.97967914067072, 31.000709042084846, 31.02040007347838, 31.029299680321223, 31.052112108966003, 31.074214494792226, 31.099478409569524, 31.113590124234754, 31.13553912481292, 31.15349194164515, 31.15820457348337]","[30.88077163696289, 30.319396738960986, 30.089232507231284, 29.92727017822994, 29.796976502192067, 29.676514204344503, 29.584010408551467, 29.499317065534235, 29.41790013615553, 29.31480712334319, 29.230902111169158, 29.157444553057708, 29.102881995547005, 29.043582655343908, 28.97567565219635, 28.899533174525235, 28.857649440549327, 28.81444951714507, 28.759484425264525, 28.681462688271417, 28.640730181762336]","[30.88077163696289, 31.48169936129676, 31.72209133522733, 31.924975645987466, 32.07747490588457, 32.19934482905062, 32.30150962692374, 32.42930541889855, 32.50978501640487, 32.62847881813989, 32.72845617017228, 32.843973531111985, 32.937918151409754, 33.015016705298535, 33.128548565735656, 33.248895815059214, 33.34130737858972, 33.41273073132444, 33.51159382436131, 33.625521195018884, 33.675678965204405]"
2023-03-08 00:00:00-05:00,"[30.513259887695312, 30.52308575694787, 30.538165655067314, 30.532341212494007, 30.53452565231663, 30.53517989096971, 30.545054837351337, 30.57412734719488, 30.566920942569578, 30.56214152325041, 30.56659167698455, 30.581715446136165, 30.58521394279861, 30.594469179674036, 30.605174319030944, 30.608447379959085, 30.61168228698689, 30.612988303489175, 30.623874969151437, 30.623574094852696, 30.63374362810844]","[30.513259887695312, 29.94061244377369, 29.70114060854515, 29.508294447209085, 29.35740862120026, 29.243880966432066, 29.16655738837122, 29.060708352366806, 28.969948473059752, 28.859072813057416, 28.793775808542307, 28.714540695895945, 28.6154171654452, 28.532216750040938, 28.504998047492638, 28.429054881653233, 28.36260635149442, 28.313195182800285, 28.22273195646271, 28.14942634060377, 28.05211764881487]","[30.513259887695312, 31.10555907012205, 31.375190701589478, 31.55638797777893, 31.711642683433002, 31.826478815507357, 31.923552286331454, 32.08754634202296, 32.1638934120794, 32.265210233443405, 32.339407545426795, 32.44889019637639, 32.55501072015202, 32.656721609307134, 32.70535059056925, 32.78783987826493, 32.86075822247936, 32.912781424178064, 33.025017981840165, 33.09772184910162, 33.21536960740201]"
2023-03-09 00:00:00-05:00,"[30.61691665649414, 30.62053548176616, 30.62568816628297, 30.634186978772245, 30.633373471201566, 30.641510149888628, 30.63917934457489, 30.65968539416127, 30.671919982619627, 30.666979004408823, 30.66510615891946, 30.66724909354873, 30.669638901803445, 30.670839231912527, 30.668983282707853, 30.667495025674295, 30.671841746052007, 30.66448624350647, 30.685437176972535, 30.700758125675307, 30.700748770127177]","[30.61691665649414, 30.053757732850737, 29.80948750442943, 29.62107530130316, 29.48634075599753, 29.38132105340487, 29.220954397777437, 29.112692572839638, 29.02078947214668, 28.926128251488525, 28.866508901062502, 28.78873355083845, 28.699611261604677, 28.627352825625277, 28.54008463934125, 28.509392544390057, 28.449303659778366, 28.35869105628579, 28.289741482481034, 28.20928964562094, 28.140510447599993]","[30.61691665649414, 31.187313230681585, 31.44188882813651, 31.64729865624133, 31.7804061864056, 31.901699246372385, 32.05740429137235, 32.2066782154829, 32.32305049309257, 32.40782975732912, 32.46370341677642, 32.54576463625901, 32.63966654200222, 32.714325638199774, 32.79788192607445, 32.82559750695853, 32.89437983232565, 32.97028143072715, 33.081132871464035, 33.19222660572967, 33.26098709265436]"
2023-03-10 00:00:00-05:00,"[30.25882339477539, 30.250364290138698, 30.242492242555073, 30.24584779497721, 30.246251560994622, 30.25681770491053, 30.242113907033612, 30.244433373272987, 30.25247497105871, 30.2666948854363, 30.291767831908558, 30.279817000258564, 30.278840027774045, 30.28914600355025, 30.298412683715647, 30.313741080625178, 30.322691275571103, 30.31928031958147, 30.327867301433827, 30.346090222011973, 30.356815420168765]","[30.25882339477539, 29.680187656934145, 29.454429046976692, 29.289677918669327, 29.14278842431055, 29.022334724803546, 28.861596574033946, 28.7754305600706, 28.685005640184606, 28.606969900938328, 28.548720830508028, 28.447801093793096, 28.397194248575538, 28.30934782983052, 28.255361253134303, 28.181395954937607, 28.143089745030093, 28.109773995687522, 28.050958290333707, 28.033029633464306, 27.988222831529377]","[30.25882339477539, 30.820540923343252, 31.030555438133455, 31.20201767128509, 31.349714697678696, 31.491300685017517, 31.62263124003328, 31.713436186475374, 31.819944301932814, 31.926419869934275, 32.034814833309085, 32.11183290672403, 32.16048580697255, 32.26894417726998, 32.34146411429699, 32.44608620631275, 32.502292806112116, 32.528786643475414, 32.60477631253394, 32.65915081055964, 32.72540800880815]"
2023-03-13 00:00:00-04:00,"[29.78765106201172, 29.79061709562574, 29.79042624588638, 29.792609267147494, 29.802664718854125, 29.795914509501515, 29.79777701362397, 29.791278695596016, 29.7708469851935, 29.75349376370173, 29.753372167914282, 29.760649635549427, 29.762170018527, 29.764616615786124, 29.76782777796746, 29.756154393736157, 29.750974668841284, 29.75300873854028, 29.744293399897376, 29.739690060789485, 29.74148777489097]","[29.78765106201172, 29.23193629193779, 28.971472818184477, 28.828680331564374, 28.653380156849824, 28.530159503932126, 28.408120433938578, 28.294537276755314, 28.183984532592532, 28.063563869346183, 27.99684201938431, 27.873353968086153, 27.82117880964658, 27.778481563002483, 27.708094583900813, 27.62515269358392, 27.536876294349632, 27.48003083109453, 27.388998490149913, 27.309763661446066, 27.2598537847951]","[29.78765106201172, 30.349297899313694, 30.609379673588283, 30.756538202730614, 30.951949280858425, 31.061669515070903, 31.187433593309365, 31.28802011443672, 31.35770943779447, 31.443423658057277, 31.509902316444254, 31.6479453030127, 31.703161227407424, 31.750751668569766, 31.82756097203411, 31.887156093888393, 31.965073043332936, 32.02598664598603, 32.099588309644844, 32.16961646013291, 32.22312176498684]"
